Département;Code Direction;Code Commune;Nom de la commune;Préfixe;Section;N° plan;N° voirie;Indice de répétition;Code voie MAJIC;Code voie Rivoli;Nature voie;Nom voie;Contenance;SUF;Nature culture;Contenance.1;Code droit - par;N° Majic - par;N° SIREN - par;Groupe personne - par;Forme juridique - par;Forme juridique abrégée - par;Dénomination - par
73;0;323;VILLAROGER;; C;0003;;;00147;B147;;L ILE;79;;S - Sols;79;P - Propriétaire;PBCD26;217303239;4 - Commune;7210;COM;COMMUNE DE VILLAROGER
73;0;323;VILLAROGER;; A;0395;;;00032;B032;;CHAMP COMMUNAL;80;;L - Landes;80;P - Propriétaire;PBCD26;217303239;4 - Commune;7210;COM;COMMUNE DE VILLAROGER
73;0;323;VILLAROGER;; E;2974;;;00114;B114;;LES FAUGES;80;;P - Prés;80;P - Propriétaire;PBCD26;217303239;4 - Commune;7210;COM;COMMUNE DE VILLAROGER
73;0;323;VILLAROGER;; B;0666;;;00057;B057;;LA CLAYA;80;;PA - Pâtures ou Pâturages;80;P - Propriétaire;PBCD26;217303239;4 - Commune;7210;COM;COMMUNE DE VILLAROGER
73;0;323;VILLAROGER;; E;1352;;;00091;B091;;LES CREUSES;80;;PA - Pâtures ou Pâturages;80;P - Propriétaire;PBCD26;217303239;4 - Commune;7210;COM;COMMUNE DE VILLAROGER
73;0;323;VILLAROGER;; E;2941;;;00208;B208;;LES PLAGNES;80;;PA - Pâtures ou Pâturages;80;P - Propriétaire;PBCD26;217303239;4 - Commune;7210;COM;COMMUNE DE VILLAROGER
73;0;323;VILLAROGER;; C;0452;;;00308;B308;;VILLAROGER;80;;S - Sols;80;P - Propriétaire;PBCD26;217303239;4 - Commune;7210;COM;COMMUNE DE VILLAROGER
73;0;323;VILLAROGER;; B;1670;;;00239;B239;;PRE DERRIERE;80;;T - Terre;80;P - Propriétaire;PBCD26;217303239;4 - Commune;7210;COM;COMMUNE DE VILLAROGER
73;0;323;VILLAROGER;; B;1595;;;00279;B279;;SOUS LA GRANGETTE;81;;S - Sols;81;G - Gérant, mandataire, gestionnaire;PBFBL6;U19107217;0 - Personnes morales non remarquables ;9900;AUPM;EDF DTEAM CC PFA DFL
73;0;323;VILLAROGER;; C;1600;;;00046;B046;;LE CHATELET;81;;T - Terre;81;G - Gérant, mandataire, gestionnaire;PBFBL6;U19107217;0 - Personnes morales non remarquables ;9900;AUPM;EDF DTEAM CC PFA DFL
73;0;323;VILLAROGER;; C;1509;;;00073;B073;;LES CORBETS;81;;P - Prés;81;P - Propriétaire;PBCD26;217303239;4 - Commune;7210;COM;COMMUNE DE VILLAROGER
73;0;323;VILLAROGER;; B;1932;;;00273;B273;;SEYSSERON;81;;S - Sols;81;P - Propriétaire;PBCD26;217303239;4 - Commune;7210;COM;COMMUNE DE VILLAROGER
73;0;323;VILLAROGER;; B;1595;;;00279;B279;;SOUS LA GRANGETTE;81;;S - Sols;81;P - Propriétaire;P998ZQ;552081317;0 - Personnes morales non remarquables ;5599;SA;ELECTRICITE DE FRANCE
73;0;323;VILLAROGER;; C;1600;;;00046;B046;;LE CHATELET;81;;T - Terre;81;P - Propriétaire;P998ZQ;552081317;0 - Personnes morales non remarquables ;5599;SA;ELECTRICITE DE FRANCE
73;0;323;VILLAROGER;; B;1808;;;00018;B018;;LES BRINGETTES;82;;PA - Pâtures ou Pâturages;82;P - Propriétaire;PBCD26;217303239;4 - Commune;7210;COM;COMMUNE DE VILLAROGER
73;0;323;VILLAROGER;; B;1809;;;00144;B144;;LA GRANGETTE;83;;S - Sols;83;P - Propriétaire;PBCD26;217303239;4 - Commune;7210;COM;COMMUNE DE VILLAROGER
73;0;323;VILLAROGER;; E;0325;;;00146;B146;;LA GURRAZ;84;;S - Sols;84;P - Propriétaire;PBCD26;217303239;4 - Commune;7210;COM;COMMUNE DE VILLAROGER
73;0;323;VILLAROGER;; A;0470;;;00283;B283;;SOUS PLANCHAMP;85;;BM - Futaies Mixtes;85;P - Propriétaire;PBCD27;217303239;4 - Commune;7210;COM;COMMUNE DE VILLAROGER
73;0;323;VILLAROGER;; B;1955;;;00018;B018;;LES BRINGETTES;85;;PA - Pâtures ou Pâturages;85;P - Propriétaire;PBCD26;217303239;4 - Commune;7210;COM;COMMUNE DE VILLAROGER
73;0;323;VILLAROGER;; A;1453;;;00127;B127;;LES GLIERES;86;;S - Sols;86;G - Gérant, mandataire, gestionnaire;PBFBL6;U19107217;0 - Personnes morales non remarquables ;9900;AUPM;EDF DTEAM CC PFA DFL
73;0;323;VILLAROGER;; C;1922;;;00150;B150;;LA JASSIERE;86;;PA - Pâtures ou Pâturages;86;P - Propriétaire;PBCD26;217303239;4 - Commune;7210;COM;COMMUNE DE VILLAROGER
73;0;323;VILLAROGER;; E;3030;;;00114;B114;;LES FAUGES;86;;S - Sols;86;P - Propriétaire;PBCD27;217303239;4 - Commune;7210;COM;COMMUNE DE VILLAROGER
73;0;323;VILLAROGER;; A;1453;;;00127;B127;;LES GLIERES;86;;S - Sols;86;P - Propriétaire;P998ZQ;552081317;0 - Personnes morales non remarquables ;5599;SA;ELECTRICITE DE FRANCE
73;0;323;VILLAROGER;; D;2107;;;00300;B300;;LES TROPPES;87;;PA - Pâtures ou Pâturages;87;P - Propriétaire;PBCD26;217303239;4 - Commune;7210;COM;COMMUNE DE VILLAROGER
73;0;323;VILLAROGER;; E;0313;;;00146;B146;;LA GURRAZ;87;;S - Sols;87;P - Propriétaire;PBG9C8;901936450;0 - Personnes morales non remarquables ;5710;SAS;EMPEREUR ET FILS
73;0;323;VILLAROGER;; E;2243;;;00002;B002;;L ADRET;88;;T - Terre;88;P - Propriétaire;PBCD26;217303239;4 - Commune;7210;COM;COMMUNE DE VILLAROGER
73;0;323;VILLAROGER;; C;1528;;;00201;B201;;LA PIAT;89;;P - Prés;89;P - Propriétaire;PBCD26;217303239;4 - Commune;7210;COM;COMMUNE DE VILLAROGER
73;0;323;VILLAROGER;; D;0448;;;00188;B188;;LA PALETTE;89;;PA - Pâtures ou Pâturages;89;P - Propriétaire;PBCD26;217303239;4 - Commune;7210;COM;COMMUNE DE VILLAROGER
73;0;323;VILLAROGER;; A;0414;;;00032;B032;;CHAMP COMMUNAL;90;;P - Prés;90;P - Propriétaire;PBCD27;217303239;4 - Commune;7210;COM;COMMUNE DE VILLAROGER
73;0;323;VILLAROGER;; C;1910;;;00271;B271;;SERPINTEUSE;90;;P - Prés;90;P - Propriétaire;PBCD26;217303239;4 - Commune;7210;COM;COMMUNE DE VILLAROGER
73;0;323;VILLAROGER;; C;1637;;;00290;B290;;LA TORSA;90;;P - Prés;90;P - Propriétaire;PBCD26;217303239;4 - Commune;7210;COM;COMMUNE DE VILLAROGER
73;0;323;VILLAROGER;; B;1451;;;00273;B273;;SEYSSERON;90;;PA - Pâtures ou Pâturages;90;P - Propriétaire;PBCD26;217303239;4 - Commune;7210;COM;COMMUNE DE VILLAROGER
73;0;323;VILLAROGER;; D;1154;;;00293;B293;;LES TRAVERS;90;;PA - Pâtures ou Pâturages;90;P - Propriétaire;PBCD26;217303239;4 - Commune;7210;COM;COMMUNE DE VILLAROGER
