Département;Code Direction;Code Commune;Nom de la commune;Préfixe;Section;N° plan;N° voirie;Indice de répétition;Code voie MAJIC;Code voie Rivoli;Nature voie;Nom voie;Contenance;SUF;Nature culture;Contenance.1;Code droit - par;N° Majic - par;N° SIREN - par;Groupe personne - par;Forme juridique - par;Forme juridique abrégée - par;Dénomination - par
80;0;721;SAINT-VALERY-SUR-SOMME;;AT;0133;;;00038;B037;;LA FERME DE LA GARENNE;153;;L - Landes;153;P - Propriétaire;PBCJGG;228000014;3 - Département ;7220;DEPT;DEPARTEMENT DE LA SOMME
80;0;721;SAINT-VALERY-SUR-SOMME;;AM;0156;;;00011;B010;;AU BOIS DE SALOMON;155;;S - Sols;155;P - Propriétaire;PBCJGG;228000014;3 - Département ;7220;DEPT;DEPARTEMENT DE LA SOMME
80;0;721;SAINT-VALERY-SUR-SOMME;;AB;0025;0002;;00122;0260;RUE;DU DOCTEUR LOMIER;155;;S - Sols;155;P - Propriétaire;PBB63W;453073421;0 - Personnes morales non remarquables ;6540;SCI;DES PRES SALES
80;0;721;SAINT-VALERY-SUR-SOMME;;AB;0344;;;00002;B001;;L ABBAYE;155;;L - Landes;155;P - Propriétaire;PBC8QD;885343277;0 - Personnes morales non remarquables ;5499;SARL;EDELWEISS
80;0;721;SAINT-VALERY-SUR-SOMME;;AN;0493;;;00061;B060;;LA REMISE A CORBEAUX;157;;AB - Terrains à bâtir;157;P - Propriétaire;PBC9GL;919800037;0 - Personnes morales non remarquables ;6540;SCI;SCI BATI'BAIE
80;0;721;SAINT-VALERY-SUR-SOMME;;AH;0061;0034;;00177;0660;RUE;DES PILOTES;158;;S - Sols;158;P - Propriétaire;PBB9W5;504261215;0 - Personnes morales non remarquables ;6540;SCI;SCI SAMARA
80;0;721;SAINT-VALERY-SUR-SOMME;;AB;0559;0008;;00149;0470;RUE;JULES BRULE;165;;S - Sols;165;G - Gérant, mandataire, gestionnaire;PBC2TP;U28703788;0 - Personnes morales non remarquables ;6599;SC;GERANCIMMO
80;0;721;SAINT-VALERY-SUR-SOMME;;AI;0165;0026;;00131;0340;RUE;DE LA FERTE;166;;S - Sols;166;P - Propriétaire;PBB3P3;414237289;0 - Personnes morales non remarquables ;6540;SCI;DES TEMPLIERS
80;0;721;SAINT-VALERY-SUR-SOMME;;AH;0500;0310;;00170;0620;RUE;DE NEUVILLE;167;;BS - Taillis sous Futaies;167;P - Propriétaire;PBBVR4;218006773;4 - Commune;7210;COM;COMMUNE DE SAINT VALERY SUR SOMME
80;0;721;SAINT-VALERY-SUR-SOMME;;AC;0239;9001;;00117;0220;PL;DE LA CROIX L ABBE;170;;S - Sols;170;P - Propriétaire;PBBXMG;307129569;0 - Personnes morales non remarquables ;5710;SAS;CARAVANING DU ROYON
80;0;721;SAINT-VALERY-SUR-SOMME;;AC;0214;;;00096;0080;RUE;DE BEAUCHAMPS;170;;S - Sols;170;P - Propriétaire;PBCZ5R;U20729339;0 - Personnes morales non remarquables ;9900;AUPM;LES PROPRIETAIRES INDIVIS COUR COMMUNE AC 214 ET AC 220
80;0;721;SAINT-VALERY-SUR-SOMME;;AN;0320;;;00061;B060;;LA REMISE A CORBEAUX;171;;T - Terre;171;P - Propriétaire;PBBVR4;218006773;4 - Commune;7210;COM;COMMUNE DE SAINT VALERY SUR SOMME
80;0;721;SAINT-VALERY-SUR-SOMME;;AI;0043;0024;;00092;0050;RUE;D ARGOULES;171;;S - Sols;171;P - Propriétaire;PBCRX7;807895818;0 - Personnes morales non remarquables ;6540;SCI;SCI DENYVES
80;0;721;SAINT-VALERY-SUR-SOMME;;AH;0168;0236;;00168;0600;RUE;DES MOULINS;172;;S - Sols;172;P - Propriétaire;PBCH8G;512217308;0 - Personnes morales non remarquables ;6540;SCI;MILLE SABORDS
80;0;721;SAINT-VALERY-SUR-SOMME;;AH;0473;0013;;00194;0810;QUAI;DU ROMEREL;177;;S - Sols;177;P - Propriétaire;P999C3;383000692;0 - Personnes morales non remarquables ;5699;SA;CAISSE D'EPARGNE ET DE PREVOYANCE HAUTS DE FRANCE
80;0;721;SAINT-VALERY-SUR-SOMME;;AL;0137;;;00051;B050;;LE MOLLENELLE;178;;P - Prés;178;P - Propriétaire;PBBVR4;218006773;4 - Commune;7210;COM;COMMUNE DE SAINT VALERY SUR SOMME
80;0;721;SAINT-VALERY-SUR-SOMME;;AH;0542;0013;;00149;0470;RUE;JULES BRULE;181;;S - Sols;181;P - Propriétaire;PBBVR4;218006773;4 - Commune;7210;COM;COMMUNE DE SAINT VALERY SUR SOMME
80;0;721;SAINT-VALERY-SUR-SOMME;;AM;0188;;;00046;B045;;LA GRANDE PIECE;181;;T - Terre;181;P - Propriétaire;P9999X;722003936;0 - Personnes morales non remarquables ;5710;SAS;MCDONALD'S FRANCE
80;0;721;SAINT-VALERY-SUR-SOMME;;AL;0668;0236;;00193;0800;AV;ROMAIN MICHEL;182;;S - Sols;182;P - Propriétaire;PBC56F;895163111;0 - Personnes morales non remarquables ;6540;SCI;LBL
80;0;721;SAINT-VALERY-SUR-SOMME;;AI;0114;0073;;00131;0340;RUE;DE LA FERTE;183;;S - Sols;183;P - Propriétaire;PBBXHF;561720939;5 - Office HLM;5546;SA;SOCIETE  IMMOBILIERE PICARDE D'HLM
80;0;721;SAINT-VALERY-SUR-SOMME;;AN;0411;;;00061;B060;;LA REMISE A CORBEAUX;184;;T - Terre;184;G - Gérant, mandataire, gestionnaire;PBCXKH;200070993;9 - Établissements publics ou organismes associés;7348;COAG;CA DE LA BAIE DE SOMME
