Département;Code Direction;Code Commune;Nom de la commune;Préfixe;Section;N° plan;N° voirie;Indice de répétition;Code voie MAJIC;Code voie Rivoli;Nature voie;Nom voie;Contenance;SUF;Nature culture;Contenance.1;Code droit - par;N° Majic - par;N° SIREN - par;Groupe personne - par;Forme juridique - par;Forme juridique abrégée - par;Dénomination - par
12;0;270;SEVERAC D AVEYRON;123; B;0090;;;00920;B762;;MALPERTUS LAPANOUSE;117577;AB;L - Landes;17920;P - Propriétaire;PBBS8L;U26086823;0 - Personnes morales non remarquables ;9900;AUPM;PROPRIETAIRES DU BND 123 B0090
12;0;270;SEVERAC D AVEYRON;;ZM;0086;0070;;00624;0182;AV;DE PARIS;8031;AJ;S - Sols;800;B - Bailleur à construction ;PBBWZ8;429808694;0 - Personnes morales non remarquables ;6540;SCI;LAFON JMF
12;0;270;SEVERAC D AVEYRON;;ZM;0086;0070;;00624;0182;AV;DE PARIS;8031;AJ;S - Sols;800;R - Preneur à construction ;PBBW7W;433710159;0 - Personnes morales non remarquables ;5499;SARL;JAMMAFRA
12;0;270;SEVERAC D AVEYRON;;VH;0008;;;00417;B423;;PUECH DE SABY;12316;AJ;L - Landes;2125;P - Propriétaire;PBCX23;200068484;4 - Commune;7346;CCOM;CC DES CAUSSES A L'AUBRAC
12;0;270;SEVERAC D AVEYRON;123;ZX;0001;;;00892;B734;;FLOURIDES;40300;AJ;P - Prés;11697;G - Gérant, mandataire, gestionnaire;PBCZZ6;U28791175;1 - État ;7113;ETAT;ETAT MINISTERE DE LA TRANSITION ECOLOGIQUE ET SOLIDAIRE
12;0;270;SEVERAC D AVEYRON;123;ZX;0001;;;00892;B734;;FLOURIDES;40300;AJ;P - Prés;11697;P - Propriétaire;P99999;U23691569;1 - État ;7113;ETAT;ETAT PAR DIRECTION DE L IMMOBILIER DE L ETAT
12;0;270;SEVERAC D AVEYRON;;WE;0010;;;00240;B246;;LES GAZETS;58130;AJ;T - Terre;17668;P - Propriétaire;PBCR9W;752527705;0 - Personnes morales non remarquables ;6534;GFA;GROUPEMENT FONCIER AGRICOLE DE COMBELADE
12;0;270;SEVERAC D AVEYRON;;VI;0066;;;00296;B302;;MENALDESQUE;70312;AJ;L - Landes;21156;P - Propriétaire;PBCX23;200068484;4 - Commune;7346;CCOM;CC DES CAUSSES A L'AUBRAC
12;0;270;SEVERAC D AVEYRON;;YV;0032;;;00149;B155;;COMBE DE CLASTRE;71413;AJ;T - Terre;22854;P - Propriétaire;PBCXZL;310679873;0 - Personnes morales non remarquables ;6534;GFA;GFA DE BELLAS
12;0;270;SEVERAC D AVEYRON;;VM;0004;;;00212;B218;;FAISSELADES;75891;AJ;T - Terre;35586;P - Propriétaire;PBBR6B;U26140408;0 - Personnes morales non remarquables ;9900;AUPM;GROUPEMENT FONCIER AGRICOLE DE LA BAUME GFA
12;0;270;SEVERAC D AVEYRON;;VR;0028;;;00204;B210;;LA DEVEZE;84241;AJ;T - Terre;34629;P - Propriétaire;PBBR6B;U26140408;0 - Personnes morales non remarquables ;9900;AUPM;GROUPEMENT FONCIER AGRICOLE DE LA BAUME GFA
12;0;270;SEVERAC D AVEYRON;040;ZE;0029;;;00766;B627;;CIRENDELS;86808;AJ;P - Prés;16438;P - Propriétaire;PBCR5T;452801301;0 - Personnes morales non remarquables ;6540;SCI;SCI CASSAGNES
12;0;270;SEVERAC D AVEYRON;;WM;0020;;;00475;B493;;LE SAGNAS;89260;AJ;T - Terre;12500;P - Propriétaire;PBCR9W;752527705;0 - Personnes morales non remarquables ;6534;GFA;GROUPEMENT FONCIER AGRICOLE DE COMBELADE
12;0;270;SEVERAC D AVEYRON;;XN;0059;;;00204;B210;;LA DEVEZE;100790;AJ;T - Terre;18842;P - Propriétaire;PBBSR8;U19925887;4 - Commune;7313;COLL;SECTION DE NOVIS
12;0;270;SEVERAC D AVEYRON;;VH;0032;;;00417;B423;;PUECH DE SABY;101483;AJ;L - Landes;17296;P - Propriétaire;PBCX23;200068484;4 - Commune;7346;CCOM;CC DES CAUSSES A L'AUBRAC
12;0;270;SEVERAC D AVEYRON;196;ZL;0017;;;01180;B985;;LES BORIES;116752;AJ;BF - Futaies Feuillues;5000;P - Propriétaire;PBB3NQ;488822685;0 - Personnes morales non remarquables ;6534;GFA;GFA BESSODES-LES BORIES
12;0;270;SEVERAC D AVEYRON;123;ZK;0014;;;00854;B696;;BESSODES LE VIEUX;145489;AJ;T - Terre;16565;P - Propriétaire;PBCXZ4;U25640469;0 - Personnes morales non remarquables ;6540;SCI;DOMAINE DE CAPLONGUE
