Département;Code Direction;Code Commune;Nom de la commune;Préfixe;Section;N° plan;N° voirie;Indice de répétition;Code voie MAJIC;Code voie Rivoli;Nature voie;Nom voie;Contenance;SUF;Nature culture;Contenance.1;Code droit - par;N° Majic - par;N° SIREN - par;Groupe personne - par;Forme juridique - par;Forme juridique abrégée - par;Dénomination - par
68;0;353;WAHLBACH;;01;0110;0009;;00074;0090;RUE;PRINCIPALE;699;;S - Sols;699;P - Propriétaire;PBFD3M;899870315;0A;6599;SC;SCA WAHLBACH
68;0;353;WAHLBACH;;04;0023;;;00062;B062;;GANSWEG;707;;T - Terre;707;P - Propriétaire;PBFJ3C;296801822;0 - Personnes morales non remarquables ;9900;AUPM;FONCIERE DE WAHLBACH
68;0;353;WAHLBACH;;06;0067;;;00048;B048;;STEINFELDLEIN;710;;AB - Terrains à bâtir;710;P - Propriétaire;PBFJ3C;296801822;0 - Personnes morales non remarquables ;9900;AUPM;FONCIERE DE WAHLBACH
68;0;353;WAHLBACH;;01;0083;0002;;00069;0040;RUE;DE L EGLISE;720;;S - Sols;720;P - Propriétaire;PBCNCQ;216803536;4 - Commune;7210;COM;COMMUNE DE WAHLBACH
68;0;353;WAHLBACH;;09;0107;;;00060;B060;;HEIDWILLER WEG;720;;AB - Terrains à bâtir;720;P - Propriétaire;PBFJ3C;296801822;0 - Personnes morales non remarquables ;9900;AUPM;FONCIERE DE WAHLBACH
68;0;353;WAHLBACH;;06;0042;;;00056;B056;;WINZERHAENSLEIN;727;;T - Terre;727;P - Propriétaire;PBFJ3C;296801822;0 - Personnes morales non remarquables ;9900;AUPM;FONCIERE DE WAHLBACH
68;0;353;WAHLBACH;;05;0193;;;00044;B044;;OBEN AM ZAESSINGER WEG;741;;S - Sols;741;P - Propriétaire;PBCWZB;408586568;0 - Personnes morales non remarquables ;6540;SCI;EMILIE ET HERVE
68;0;353;WAHLBACH;;08;0119;;;00061;B061;;HUNDSBACHER WEG;760;;E - Eaux;760;P - Propriétaire;PBFJ3C;296801822;0 - Personnes morales non remarquables ;9900;AUPM;FONCIERE DE WAHLBACH
68;0;353;WAHLBACH;;11;0084;;;00026;B026;;HEILBERG;790;;E - Eaux;790;P - Propriétaire;PBFJ3C;296801822;0 - Personnes morales non remarquables ;9900;AUPM;FONCIERE DE WAHLBACH
68;0;353;WAHLBACH;;10;0032;;;00041;B041;;OB DER HAMMERSMATT;794;;BS - Taillis sous Futaies;794;P - Propriétaire;PBCRRK;311314330;0 - Personnes morales non remarquables ;6540;SCI;SCI BROGLE
68;0;353;WAHLBACH;;08;0007;;;00033;B033;;KATZENWADEL;795;;AB - Terrains à bâtir;795;P - Propriétaire;PBFJ3C;296801822;0 - Personnes morales non remarquables ;9900;AUPM;FONCIERE DE WAHLBACH
68;0;353;WAHLBACH;;09;0073;;;00060;B060;;HEIDWILLER WEG;800;;AB - Terrains à bâtir;800;P - Propriétaire;PBFJ3C;296801822;0 - Personnes morales non remarquables ;9900;AUPM;FONCIERE DE WAHLBACH
68;0;353;WAHLBACH;;06;0098;;;00061;B061;;HUNDSBACHER WEG;800;;AB - Terrains à bâtir;800;P - Propriétaire;PBFJ3C;296801822;0 - Personnes morales non remarquables ;9900;AUPM;FONCIERE DE WAHLBACH
68;0;353;WAHLBACH;;08;0117;;;00061;B061;;HUNDSBACHER WEG;800;;AB - Terrains à bâtir;800;P - Propriétaire;PBFJ3C;296801822;0 - Personnes morales non remarquables ;9900;AUPM;FONCIERE DE WAHLBACH
