Département;Code Direction;Code Commune;Nom de la commune;Préfixe;Section;N° plan;N° voirie;Indice de répétition;Code voie MAJIC;Code voie Rivoli;Nature voie;Nom voie;Contenance;SUF;Nature culture;Contenance.1;Code droit - par;N° Majic - par;N° SIREN - par;Groupe personne - par;Forme juridique - par;Forme juridique abrégée - par;Dénomination - par
30;0;341;VAUVERT;;AB;0254;0611;;00807;0036;CHE;D'AUBORD;1671;;S - Sols;1671;P - Propriétaire;PBFKZW;818680431;0 - Personnes morales non remarquables ;6540;SCI;SCI 2JMC
30;0;341;VAUVERT;;EB;0076;;;00112;B218;;LE MAS NEUF;1673;;L - Landes;1673;P - Propriétaire;PBDSS7;381464239;0 - Personnes morales non remarquables ;6540;SCI;SCI LA GRAULENNE
30;0;341;VAUVERT;;CW;0084;;;00113;B221;;MAS PRES GALLICIAN;1678;;S - Sols;1678;P - Propriétaire;PBBBH8;U27176671;0 - Personnes morales non remarquables ;9900;AUPM;CAVE COOP DE LA COSTIERE DE GALLICIAN
30;0;341;VAUVERT;;AB;0422;0240;;00830;0003;AV;COTE. SOLEIL;1693;;AB - Terrains à bâtir;1693;P - Propriétaire;PBF22P;853770733;0 - Personnes morales non remarquables ;6540;SCI;METM BROTHERS
30;0;341;VAUVERT;;BO;0142;;;00141;B285;;PUECH DE PATTUS ET CARAMEL;1694;;L - Landes;1694;P - Propriétaire;PBD65P;789478211;0 - Personnes morales non remarquables ;6540;SCI;GFA TEMIS
30;0;341;VAUVERT;;EW;0028;;;00160;B335;;SYLVEREAL;1696;;S - Sols;1696;P - Propriétaire;P99999;U23691569;1 - État ;7113;ETAT;ETAT PAR DIRECTION DE L IMMOBILIER DE L ETAT
30;0;341;VAUVERT;;EW;0028;;;00160;B335;;SYLVEREAL;1696;;S - Sols;1696;Z - Gestion d’un bien de l’État ;PBBBGG;U28328033;0 - Personnes morales non remarquables ;9900;AUPM;ASA DES CANAUX DE SYLVEREAL ET BOURGIDOU
30;0;341;VAUVERT;;AT;0002;0854;;00181;0039;CHE;DE L AUSSELON;1697;;S - Sols;1697;P - Propriétaire;PBBBRK;213003411;4 - Commune;7210;COM;COMMUNE DE VAUVERT
30;0;341;VAUVERT;;AB;0408;0076;;00797;0489;AV;MAS SAINT LAURENT;1700;;S - Sols;1700;P - Propriétaire;PBFWQH;680200128;0 - Personnes morales non remarquables ;5515;SEM;STE D AMENAGEMENT ET EQUIPEMENT DU GARD
30;0;341;VAUVERT;;AX;0176;;;00182;0040;RUE;DE L AUSSELON;1711;;S - Sols;1711;P - Propriétaire;PBBBRK;213003411;4 - Commune;7210;COM;COMMUNE DE VAUVERT
30;0;341;VAUVERT;;EX;0016;;;00152;B313;;LE SABLAS;1712;;L - Landes;1712;P - Propriétaire;PBB379;479062309;0 - Personnes morales non remarquables ;6534;GFA;DOMAINE DE SYLVEREAL
30;0;341;VAUVERT;;BX;0027;;;00128;B251;;LE PETIT BOIS;1720;;BT - Taillis simples;1720;P - Propriétaire;PBBTZK;432754323;0 - Personnes morales non remarquables ;6534;GFA;GFA PAP
30;0;341;VAUVERT;;BH;0354;9028;;00217;0230;AV;DE LA COSTIERE;1726;;AB - Terrains à bâtir;1726;P - Propriétaire;PBF8Z3;823375639;0 - Personnes morales non remarquables ;5710;SAS;CAP'SOLIDARITE
30;0;341;VAUVERT;;AB;0488;0620;;00830;0003;AV;COTE. SOLEIL;1730;;S - Sols;1730;P - Propriétaire;PBFSWH;844672378;0 - Personnes morales non remarquables ;6540;SCI;IMMO-CHAARANE
30;0;341;VAUVERT;;EW;0015;;;00160;B335;;SYLVEREAL;1731;;BT - Taillis simples;1731;P - Propriétaire;PBGC8K;980054936;0 - Personnes morales non remarquables ;6540;SCI;PELF
30;0;341;VAUVERT;;AZ;0146;;;00290;0590;RUE;DU MOULIN D ETIENNE;1733;;S - Sols;1733;P - Propriétaire;PBBKSS;650200405;6 - Personnes morales représentant des sociétés d’économie mixte;5599;SA;SA ECONOM MIXTE IMMOBILIERE DEPART GARD
