Département;Code Direction;Code Commune;Nom de la commune;Préfixe;Section;N° plan;N° voirie;Indice de répétition;Code voie MAJIC;Code voie Rivoli;Nature voie;Nom voie;Contenance;SUF;Nature culture;Contenance.1;Code droit - par;N° Majic - par;N° SIREN - par;Groupe personne - par;Forme juridique - par;Forme juridique abrégée - par;Dénomination - par
75;0;117;PARIS 17;;DJ;0023;0048;;00341;6401;RUE;DES MOINES;495;;S - Sols;495;P - Propriétaire;PBRMPJ;900505462;0 - Personnes morales non remarquables ;6599;SC;AFER PIERRE
75;0;117;PARIS 17;;CO;0102;0029;;00311;5503;RUE;LEMERCIER;495;;S - Sols;495;S - Syndic de copropriété;PBHFJ6;479919490;0 - Personnes morales non remarquables ;5710;SAS;DOMINIQUE G FESSART SAS
75;0;117;PARIS 17;;BQ;0081;0067;;00318;5642;RUE;DE LEVIS;495;;S - Sols;495;S - Syndic de copropriété;PBSMRF;582098026;0 - Personnes morales non remarquables ;5710;SAS;FONCIA PARIS RIVE DROITE
75;0;117;PARIS 17;;BN;0043;0054;;00133;1550;RUE;CARDINET;495;;S - Sols;495;S - Syndic de copropriété;PBKXQD;337742324;0 - Personnes morales non remarquables ;5499;SARL;HOME DE FRANCE
75;0;117;PARIS 17;;CO;0092;0044;;00360;6803;RUE;NOLLET;495;;S - Sols;495;S - Syndic de copropriété;PBMS8J;U14311933;0 - Personnes morales non remarquables ;6540;SCI;SOCIETE G IMMO
75;0;117;PARIS 17;;CD;0050;0129;Z;00433;8847;RUE;SAUSSURE;496;;S - Sols;496;P - Propriétaire;PBPL5Q;217500016;4 - Commune;7229;COLL;VILLE DE PARIS
75;0;117;PARIS 17;;AL;0107;0069;;00475;9933;AV;DE WAGRAM;496;;S - Sols;496;S - Syndic de copropriété;PBB6MR;343385720;0 - Personnes morales non remarquables ;5710;SAS;CABINET CHAMORAND
75;0;117;PARIS 17;;DM;0030;0097;;00341;6401;RUE;DES MOINES;496;;S - Sols;496;S - Syndic de copropriété;PBBPLJ;488122458;0 - Personnes morales non remarquables ;5710;SAS;CABINET JOLY
75;0;117;PARIS 17;;BW;0010;0013;;00467;9695;RUE;VERNIQUET;496;;S - Sols;496;S - Syndic de copropriété;PBQRDZ;U28375357;0 - Personnes morales non remarquables ;9900;AUPM;CMB ETUDE BERNARD
75;0;117;PARIS 17;;BC;0019;0187;;00170;2387;RUE;DE COURCELLES;497;;S - Sols;497;P - Propriétaire;PBJCV2;338099229;0 - Personnes morales non remarquables ;5710;SAS;SGA-VARENNE
75;0;117;PARIS 17;;BC;0019;0187;;00170;2387;RUE;DE COURCELLES;497;;S - Sols;497;S - Syndic de copropriété;PBNKBH;702020785;0 - Personnes morales non remarquables ;5710;SAS;BELLEROCHE
75;0;117;PARIS 17;;AD;0012;0011;;00101;0821;RUE;BELIDOR;497;;S - Sols;497;S - Syndic de copropriété;PBM69L;342313210;0 - Personnes morales non remarquables ;5710;SAS;CABINET GURTNER
75;0;117;PARIS 17;;BS;0007;0136;;00475;9933;AV;DE WAGRAM;497;;S - Sols;497;S - Syndic de copropriété;PBPKV6;310346341;0 - Personnes morales non remarquables ;5710;SAS;CABINET LECASBLE ET MAUGEE
75;0;117;PARIS 17;;BK;0014;0087;B;00475;9933;AV;DE WAGRAM;498;;S - Sols;498;S - Syndic de copropriété;PBDLXM;331037721;0 - Personnes morales non remarquables ;5710;SAS;LUC DUPUIS
75;0;117;PARIS 17;;AK;0018;0018;;00134;1556;AV;CARNOT;498;;S - Sols;498;S - Syndic de copropriété;PBD5LL;350971727;0 - Personnes morales non remarquables ;5499;SARL;SOGIT
75;0;117;PARIS 17;;DP;0160;0008;;00193;2866;RUE;DU DR PAUL BROUSSE;499;;S - Sols;499;P - Propriétaire;PBQJTS;820677508;0 - Personnes morales non remarquables ;5202;SNC;OH4S
75;0;117;PARIS 17;;BI;0029;0009;;00119;1269;RUE;BREMONTIER;499;;S - Sols;499;S - Syndic de copropriété;PBF756;339590721;0 - Personnes morales non remarquables ;5710;SAS;ELIMMO GESTION
75;0;117;PARIS 17;;BJ;0029;0107;;00170;2387;RUE;DE COURCELLES;499;;S - Sols;499;S - Syndic de copropriété;PBN32D;390476422;0 - Personnes morales non remarquables ;5599;SA;GTF REAL ESTATE INVESTMENT MANAGEMENT - GTF REIM
75;0;117;PARIS 17;;BV;0049;0048;;00371;7258;BD;PEREIRE;499;;S - Sols;499;S - Syndic de copropriété;PBNZWD;562024893;0 - Personnes morales non remarquables ;5710;SAS;LE TERROIR
75;0;117;PARIS 17;;DM;0046;0110;B;00341;6401;RUE;DES MOINES;500;;S - Sols;500;G - Gérant, mandataire, gestionnaire;PBHVSM;552139362;0 - Personnes morales non remarquables ;5710;SAS;LEPINAY MALET
75;0;117;PARIS 17;;DG;0114;0164;;00161;2112;AV;DE CLICHY;500;;S - Sols;500;P - Propriétaire;P9994U;552022105;5 - Office HLM;5646;SA;ICF LA SABLIERE SA D'HLM
75;0;117;PARIS 17;;DJ;0029;0119;;00161;2112;AV;DE CLICHY;500;;S - Sols;500;P - Propriétaire;PBRTHS;909796112;0 - Personnes morales non remarquables ;5710;SAS;LE GOELAND INDIVISION
75;0;117;PARIS 17;;AH;0034;0037;;00065;0045;RUE;DES ACACIAS;500;;S - Sols;500;S - Syndic de copropriété;PBMPWT;799526645;0 - Personnes morales non remarquables ;5710;SAS;CMB
75;0;117;PARIS 17;;AG;0029;0015;;00165;2209;RUE;DU COLONEL MOLL;500;;S - Sols;500;S - Syndic de copropriété;PBRW84;318174315;0 - Personnes morales non remarquables ;5710;SAS;GERARD SAFAR SAS
75;0;117;PARIS 17;;CS;0009;0089;;00462;9487;RUE;TRUFFAUT;500;;S - Sols;500;S - Syndic de copropriété;PBQRD6;528242829;0 - Personnes morales non remarquables ;5499;SARL;JMD CONSEIL
75;0;117;PARIS 17;;DM;0046;0110;B;00341;6401;RUE;DES MOINES;500;;S - Sols;500;S - Syndic de copropriété;PBL4FF;445339351;0 - Personnes morales non remarquables ;5710;SAS;MAVILLE IMMOBILIER
75;0;117;PARIS 17;;BQ;0010;0135;;00323;5951;BD;MALESHERBES;500;;S - Sols;500;S - Syndic de copropriété;PBKHF2;582019071;0 - Personnes morales non remarquables ;5710;SAS;MESSIEURS BOULARD ET COMPAGNIE
75;0;117;PARIS 17;;BJ;0071;0138;;00170;2387;RUE;DE COURCELLES;500;;S - Sols;500;S - Syndic de copropriété;PBCWWD;499373884;0 - Personnes morales non remarquables ;5499;SARL;PRIVILEGE GESTION
75;0;117;PARIS 17;;DJ;0054;0017;;00157;2063;RUE;CLAIRAUT;501;;S - Sols;501;G - Gérant, mandataire, gestionnaire;PBR9ZN;U32710683;9 - Établissements publics ou organismes associés;7364;HOSP;SERVICE LOGEMENT DE L'AP-HP
75;0;117;PARIS 17;;DJ;0054;0017;;00157;2063;RUE;CLAIRAUT;501;;S - Sols;501;P - Propriétaire;PBKG7L;267500452;9 - Établissements publics ou organismes associés;7364;HOSP;ASSISTANCE PUBLIQUE HOPITAUX DE PARIS
75;0;117;PARIS 17;;CR;0064;0075;;00360;6803;RUE;NOLLET;501;;S - Sols;501;P - Propriétaire;PBQTD2;851607465;0 - Personnes morales non remarquables ;8110;SSRG;CONSEIL DE LA PROTECTION SOCIALE DES TRAVAILLEURS INDEPENDAN
75;0;117;PARIS 17;;BR;0076;0118;;00323;5951;BD;MALESHERBES;501;;S - Sols;501;S - Syndic de copropriété;PBP257;632009031;0 - Personnes morales non remarquables ;5710;SAS;A DEGUELDRE P DEGUELDRE ET CIE
75;0;117;PARIS 17;;CL;0082;0017;;00348;6469;RUE;DU MONT-DORE;501;;S - Sols;501;S - Syndic de copropriété;PBHGWZ;443388806;0 - Personnes morales non remarquables ;5499;SARL;BAUSSANT CONSEIL
75;0;117;PARIS 17;;CO;0019;0025;;00462;9487;RUE;TRUFFAUT;501;;S - Sols;501;S - Syndic de copropriété;PBDDCQ;313335713;0 - Personnes morales non remarquables ;5710;SAS;SOC DE GESTION ET D'ADM DE BIE
75;0;117;PARIS 17;;BZ;0045;0024;;00536;6056;RUE;MARGUERITE LONG;502;;S - Sols;502;P - Propriétaire;P996ZW;344810825;5 - Office HLM;4140;EPIC;PARIS HABITAT-OPH
75;0;117;PARIS 17;;CP;0133;0102;;00308;5473;RUE;LEGENDRE;502;;S - Sols;502;S - Syndic de copropriété;PBGF6F;381983980;0 - Personnes morales non remarquables ;5499;SARL;GLAD ET BISIAUX
75;0;117;PARIS 17;;BL;0080;0016;;00149;1959;RUE;DE CHAZELLES;502;;S - Sols;502;S - Syndic de copropriété;PBPR3Z;552139362;0 - Personnes morales non remarquables ;5710;SAS;LEPINAY MALET
75;0;117;PARIS 17;;AO;0054;0023;B;00358;6773;AV;NIEL;502;;S - Sols;502;S - Syndic de copropriété;PBL4FF;445339351;0 - Personnes morales non remarquables ;5710;SAS;MAVILLE IMMOBILIER
75;0;117;PARIS 17;;DQ;0004;0049;;00296;5329;RUE;LANTIEZ;504;;S - Sols;504;E - Emphytéote ;PBDT2T;784297152;0 - Personnes morales non remarquables ;9300;FON;FONDATION AMICIE LEBAUDY
75;0;117;PARIS 17;;DQ;0004;0049;;00296;5329;RUE;LANTIEZ;504;;S - Sols;504;P - Propriétaire;PBPL5Q;217500016;4 - Commune;7229;COLL;VILLE DE PARIS
75;0;117;PARIS 17;;AG;0085;0009;;00219;3591;CITE;FEREMBACH;504;;S - Sols;504;S - Syndic de copropriété;PBMFR9;592039705;0 - Personnes morales non remarquables ;5710;SAS;GRATADE
75;0;117;PARIS 17;;BQ;0007;0137;;00323;5951;BD;MALESHERBES;504;;S - Sols;504;S - Syndic de copropriété;PBG4S3;332291681;0 - Personnes morales non remarquables ;5710;SAS;LOISELET DAIGREMONT ET DUBUS
75;0;117;PARIS 17;;DK;0063;0011;;00273;4776;RUE;JACQUEMONT;504;;S - Sols;504;S - Syndic de copropriété;PBBXKD;388965972;0 - Personnes morales non remarquables ;5599;SA;PROCIVIS SERVICES
75;0;117;PARIS 17;;BO;0072;0007;;00248;4119;RUE;GEORGES BERGER;504;;S - Sols;504;S - Syndic de copropriété;PBH2KN;305060725;0 - Personnes morales non remarquables ;5710;SAS;REGIE GUILLON
75;0;117;PARIS 17;;CP;0122;0054;;00360;6803;RUE;NOLLET;505;;S - Sols;505;P - Propriétaire;PBPL5Q;217500016;4 - Commune;7229;COLL;VILLE DE PARIS
75;0;117;PARIS 17;;DQ;0229;0012;;00276;4796;RUE;JACQUES KELLNER;505;;S - Sols;505;S - Syndic de copropriété;PBGZXH;632024527;0 - Personnes morales non remarquables ;5710;SAS;ALLIANZ REAL ESTATE FRANCE
75;0;117;PARIS 17;;BM;0034;0028;;00133;1550;RUE;CARDINET;505;;S - Sols;505;S - Syndic de copropriété;PBJCTL;306533738;0 - Personnes morales non remarquables ;5710;SAS;FONCIA PARIS RIVE GAUCHE
75;0;117;PARIS 17;;BS;0030;0170;;00323;5951;BD;MALESHERBES;505;;S - Sols;505;S - Syndic de copropriété;PBDF3V;334239142;0 - Personnes morales non remarquables ;5710;SAS;JEAN ROMPTEAUX SA
75;0;117;PARIS 17;;BS;0019;0155;;00323;5951;BD;MALESHERBES;505;;S - Sols;505;S - Syndic de copropriété;PBQKNQ;504939422;0 - Personnes morales non remarquables ;5499;SARL;SYNDIXIS
75;0;117;PARIS 17;;CU;0037;0147;P;00133;1550;RUE;CARDINET;506;;CH - Chemins de fer, Canaux de Navigation;506;G - Gérant, mandataire, gestionnaire;P9999Y;412280737;9 - Établissements publics ou organismes associés;5599;SA;SNCF RESEAU
75;0;117;PARIS 17;;BO;0083;0006;;00248;4119;RUE;GEORGES BERGER;506;;S - Sols;506;P - Propriétaire;PBNDWQ;U15718779;0 - Personnes morales non remarquables ;7229;COLL;ETAT DU PORTUGAL
75;0;117;PARIS 17;;BJ;0032;0109;;00170;2387;RUE;DE COURCELLES;506;;S - Sols;506;P - Propriétaire;P996D7;775691132;0 - Personnes morales non remarquables ;8210;MUT;LA FRANCE MUTUALISTE
75;0;117;PARIS 17;;AI;0026;0005;;00075;0304;RUE;ANATOLE DE LA FORGE;506;;S - Sols;506;S - Syndic de copropriété;PBHJQC;692052400;0 - Personnes morales non remarquables ;5710;SAS;CABINET JOURNE
75;0;117;PARIS 17;;BK;0059;0074;;00475;9933;AV;DE WAGRAM;506;;S - Sols;506;S - Syndic de copropriété;PBHVSM;552139362;0 - Personnes morales non remarquables ;5710;SAS;LEPINAY MALET
75;0;117;PARIS 17;;CK;0056;0086;;00095;0719;BD;DES BATIGNOLLES;506;;S - Sols;506;S - Syndic de copropriété;PBH9B2;652009705;0 - Personnes morales non remarquables ;5699;SA;TIFFENCOGE
75;0;117;PARIS 17;;AO;0031;0009;;00472;9822;RUE;VILLEBOIS MAREUIL;507;;S - Sols;507;G - Gérant, mandataire, gestionnaire;PBRVN3;582098026;0 - Personnes morales non remarquables ;5710;SAS;FONCIA PARIS RIVE DROITE
75;0;117;PARIS 17;;BN;0048;0044;;00133;1550;RUE;CARDINET;507;;S - Sols;507;P - Propriétaire;PBQC24;343286183;0 - Personnes morales non remarquables ;5599;SA;PREVOIR VIE GROUPE PREVOIR
