Département;Code Direction;Code Commune;Nom de la commune;Préfixe;Section;N° plan;N° voirie;Indice de répétition;Code voie MAJIC;Code voie Rivoli;Nature voie;Nom voie;Contenance;SUF;Nature culture;Contenance.1;Code droit - par;N° Majic - par;N° SIREN - par;Groupe personne - par;Forme juridique - par;Forme juridique abrégée - par;Dénomination - par
04;0;245;VOLX;; C;0722;;;00032;B032;;LA POINTE;3850;;BT - Taillis simples;3850;P - Propriétaire;PBBXFW;443913181;0 - Personnes morales non remarquables ;6534;GFA;SAINT CLEMENT
04;0;245;VOLX;; C;0961;;;00031;B031;;LE PLAN;3855;;T - Terre;3855;G - Gérant, mandataire, gestionnaire;PBCGW4;U15371811;0 - Personnes morales non remarquables ;9900;AUPM;EDF DTEAM CC PFA DFL
04;0;245;VOLX;; C;0961;;;00031;B031;;LE PLAN;3855;;T - Terre;3855;P - Propriétaire;P998ZQ;552081317;0 - Personnes morales non remarquables ;5599;SA;ELECTRICITE DE FRANCE
04;0;245;VOLX;; C;2457;;;00018;B018;;LE GRAVAS;3912;;BT - Taillis simples;3912;G - Gérant, mandataire, gestionnaire;PBCGW4;U15371811;0 - Personnes morales non remarquables ;9900;AUPM;EDF DTEAM CC PFA DFL
04;0;245;VOLX;; C;2457;;;00018;B018;;LE GRAVAS;3912;;BT - Taillis simples;3912;P - Propriétaire;P998ZQ;552081317;0 - Personnes morales non remarquables ;5599;SA;ELECTRICITE DE FRANCE
04;0;245;VOLX;; C;2025;;;00038;B038;;SAINT CLEMENT;3940;;L - Landes;3940;G - Gérant, mandataire, gestionnaire;PBCGW4;U15371811;0 - Personnes morales non remarquables ;9900;AUPM;EDF DTEAM CC PFA DFL
04;0;245;VOLX;; C;2025;;;00038;B038;;SAINT CLEMENT;3940;;L - Landes;3940;P - Propriétaire;P998ZQ;552081317;0 - Personnes morales non remarquables ;5599;SA;ELECTRICITE DE FRANCE
04;0;245;VOLX;;AD;0005;;;00016;B016;;LE GRAND PRE;3958;;T - Terre;3958;P - Propriétaire;PBBVB7;210402459;4 - Commune;7210;COM;COMMUNE DE VOLX
04;0;245;VOLX;;AB;0097;;;00035;B035;;RATAVOUS;3975;;VE - Vergers;3975;P - Propriétaire;PBB4HB;392186367;0 - Personnes morales non remarquables ;6538;GFR;LES ARRIGES
04;0;245;VOLX;; C;0134;;;00034;B034;;LES PRES;3990;;T - Terre;3990;P - Propriétaire;PBB4HB;392186367;0 - Personnes morales non remarquables ;6538;GFR;LES ARRIGES
04;0;245;VOLX;;AN;0237;;;00146;B060;;LA BASSE FONTAINE;3998;;S - Sols;3998;P - Propriétaire;PBBVB7;210402459;4 - Commune;7210;COM;COMMUNE DE VOLX
04;0;245;VOLX;; A;0696;;;00046;B046;;VAUGRANA;4000;;L - Landes;4000;P - Propriétaire;PBBVB7;210402459;4 - Commune;7210;COM;COMMUNE DE VOLX
04;0;245;VOLX;; C;0860;;;00002;B002;;BAJOURIN;4010;;T - Terre;4010;P - Propriétaire;PBB4HB;392186367;0 - Personnes morales non remarquables ;6538;GFR;LES ARRIGES
04;0;245;VOLX;; C;1784;;;00016;B016;;LE GRAND PRE;4080;;L - Landes;4080;G - Gérant, mandataire, gestionnaire;PBCGW4;U15371811;0 - Personnes morales non remarquables ;9900;AUPM;EDF DTEAM CC PFA DFL
04;0;245;VOLX;; C;1784;;;00016;B016;;LE GRAND PRE;4080;;L - Landes;4080;P - Propriétaire;P998ZQ;552081317;0 - Personnes morales non remarquables ;5599;SA;ELECTRICITE DE FRANCE
04;0;245;VOLX;; C;0857;;;00002;B002;;BAJOURIN;4095;;VE - Vergers;4095;P - Propriétaire;PBB4HB;392186367;0 - Personnes morales non remarquables ;6538;GFR;LES ARRIGES
04;0;245;VOLX;; A;0387;;;00037;B037;;LA ROUVIERE;4125;;L - Landes;4125;P - Propriétaire;P99999;U23691569;1 - État ;7113;ETAT;ETAT PAR DIRECTION DE L IMMOBILIER DE L ETAT
04;0;245;VOLX;; A;0387;;;00037;B037;;LA ROUVIERE;4125;;L - Landes;4125;Z - Gestion d’un bien de l’État ;P995WV;662043116;9 - Établissements publics ou organismes associés;4110;EPIC;OFFICE NATIONAL DES FORETS
04;0;245;VOLX;;AA;0127;;;00147;B061;;LA CAPELANE;4150;;L - Landes;4150;P - Propriétaire;PBB9TK;392727467;0 - Personnes morales non remarquables ;6540;SCI;MARJEBES
04;0;245;VOLX;;AL;0024;;;00013;B013;;FONTENOUILLES;4157;;VE - Vergers;4157;P - Propriétaire;PBBVB7;210402459;4 - Commune;7210;COM;COMMUNE DE VOLX
04;0;245;VOLX;; C;0943;;;00008;B008;;LA CROUSTASSE;4170;;T - Terre;4170;G - Gérant, mandataire, gestionnaire;PBCGW4;U15371811;0 - Personnes morales non remarquables ;9900;AUPM;EDF DTEAM CC PFA DFL
04;0;245;VOLX;; C;0943;;;00008;B008;;LA CROUSTASSE;4170;;T - Terre;4170;P - Propriétaire;P998ZQ;552081317;0 - Personnes morales non remarquables ;5599;SA;ELECTRICITE DE FRANCE
04;0;245;VOLX;;AD;0258;;;00016;B016;;LE GRAND PRE;4189;;L - Landes;4189;P - Propriétaire;PBCCS8;220400014;3 - Département ;7220;DEPT;DEPARTEMENT DES ALPES DE HAUTE PROVENCE
04;0;245;VOLX;;AL;0034;;;00013;B013;;FONTENOUILLES;4226;;E - Eaux;4226;P - Propriétaire;PBC44L;290402270;0 - Personnes morales non remarquables ;7321;ASS;ASA CANAL DE MANOSQUE
04;0;245;VOLX;; B;0025;;;00045;B045;;LA TUILIERE;4250;;BT - Taillis simples;4250;P - Propriétaire;PBBVB7;210402459;4 - Commune;7210;COM;COMMUNE DE VOLX
04;0;245;VOLX;;AN;0001;;;00146;B060;;LA BASSE FONTAINE;4295;;E - Eaux;4295;P - Propriétaire;PBC44L;290402270;0 - Personnes morales non remarquables ;7321;ASS;ASA CANAL DE MANOSQUE
04;0;245;VOLX;; C;0120;;;00034;B034;;LES PRES;4310;;T - Terre;4310;P - Propriétaire;PBB4HB;392186367;0 - Personnes morales non remarquables ;6538;GFR;LES ARRIGES
04;0;245;VOLX;; B;2610;;;00041;B041;;SAINT ROCH;4375;;T - Terre;4375;P - Propriétaire;PBBXQC;334501673;0 - Personnes morales non remarquables ;6534;GFA;GFA DU GRAND LOGIS
04;0;245;VOLX;; B;0447;;;00028;B028;;PIETRAMAL;4445;;VE - Vergers;4445;P - Propriétaire;PBB4HB;392186367;0 - Personnes morales non remarquables ;6538;GFR;LES ARRIGES
04;0;245;VOLX;; C;1285;;;00033;B033;;PONT D AI;4450;;T - Terre;4450;P - Propriétaire;PBC38W;418959649;0 - Personnes morales non remarquables ;5710;SAS;LE CLAVEAU
04;0;245;VOLX;; B;2618;;;00041;B041;;SAINT ROCH;4455;;T - Terre;4455;P - Propriétaire;PBB9MC;382078616;0 - Personnes morales non remarquables ;6597;SCEA;SAINT ROCH
04;0;245;VOLX;; C;0870;;;00002;B002;;BAJOURIN;4525;;T - Terre;4525;P - Propriétaire;PBB4HB;392186367;0 - Personnes morales non remarquables ;6538;GFR;LES ARRIGES
04;0;245;VOLX;; A;0084;;;00040;B040;;SAINT MARTIN;4530;;L - Landes;4530;P - Propriétaire;PBBVB7;210402459;4 - Commune;7210;COM;COMMUNE DE VOLX
04;0;245;VOLX;; C;0043;;;00016;B016;;LE GRAND PRE;4535;;VE - Vergers;4535;P - Propriétaire;PBBXQC;334501673;0 - Personnes morales non remarquables ;6534;GFA;GFA DU GRAND LOGIS
04;0;245;VOLX;; B;2620;;;00041;B041;;SAINT ROCH;4576;;T - Terre;4576;P - Propriétaire;PBBXQC;334501673;0 - Personnes morales non remarquables ;6534;GFA;GFA DU GRAND LOGIS
04;0;245;VOLX;; C;0639;;;00033;B033;;PONT D AI;4600;;VI - Vignes;4600;P - Propriétaire;PBC38W;418959649;0 - Personnes morales non remarquables ;5710;SAS;LE CLAVEAU
04;0;245;VOLX;;AM;0116;;;00042;B042;;SAINTE ANNE;4606;;L - Landes;4606;P - Propriétaire;PBBVB7;210402459;4 - Commune;7210;COM;COMMUNE DE VOLX
04;0;245;VOLX;; C;0219;;;00034;B034;;LES PRES;4635;;T - Terre;4635;P - Propriétaire;PBB4HB;392186367;0 - Personnes morales non remarquables ;6538;GFR;LES ARRIGES
04;0;245;VOLX;; A;0005;;;00036;B036;;LA ROULIERE;4750;;BT - Taillis simples;4750;P - Propriétaire;PBBXKR;348747007;0 - Personnes morales non remarquables ;6540;SCI;DE ROUILLERE
04;0;245;VOLX;; B;1968;;;00028;B028;;PIETRAMAL;4755;;BT - Taillis simples;4755;P - Propriétaire;PBBXC9;775692072;0 - Personnes morales non remarquables ;9220;ASS;GROUPEMENT CAMPEURS UNIVERSITAIRES
04;0;245;VOLX;; C;0712;;;00029;B029;;LA PIOLANCHE;4820;;BT - Taillis simples;4820;P - Propriétaire;PBBXFW;443913181;0 - Personnes morales non remarquables ;6534;GFA;SAINT CLEMENT
04;0;245;VOLX;; C;0042;;;00016;B016;;LE GRAND PRE;4855;;T - Terre;4855;P - Propriétaire;PBBXQC;334501673;0 - Personnes morales non remarquables ;6534;GFA;GFA DU GRAND LOGIS
04;0;245;VOLX;; C;0127;;;00034;B034;;LES PRES;4860;;T - Terre;4860;P - Propriétaire;PBC38W;418959649;0 - Personnes morales non remarquables ;5710;SAS;LE CLAVEAU
04;0;245;VOLX;; C;0630;;;00033;B033;;PONT D AI;4870;;CH - Chemins de fer, Canaux de Navigation;4870;G - Gérant, mandataire, gestionnaire;P9MBFT;552049447;9 - Établissements publics ou organismes associés;5599;SA;SOCIETE NATIONALE SNCF
04;0;245;VOLX;; C;0630;;;00033;B033;;PONT D AI;4870;;CH - Chemins de fer, Canaux de Navigation;4870;P - Propriétaire;P9999Z;552049447;9 - Établissements publics ou organismes associés;5599;SA;SOCIETE NATIONALE SNCF
04;0;245;VOLX;; C;0263;;;00034;B034;;LES PRES;4910;;T - Terre;4910;P - Propriétaire;PBB4HB;392186367;0 - Personnes morales non remarquables ;6538;GFR;LES ARRIGES
04;0;245;VOLX;;AI;0027;;;00006;B006;;LA CARRETIERE;4994;;S - Sols;4994;P - Propriétaire;PBB64M;447892563;0 - Personnes morales non remarquables ;6540;SCI;DU MONT
04;0;245;VOLX;; C;0873;;;00002;B002;;BAJOURIN;5010;;T - Terre;5010;P - Propriétaire;PBB4HB;392186367;0 - Personnes morales non remarquables ;6538;GFR;LES ARRIGES
04;0;245;VOLX;; A;0361;;;00005;B005;;BELLE VUE;5040;;L - Landes;5040;P - Propriétaire;PBBXKK;443905864;0 - Personnes morales non remarquables ;6540;SCI;BELLEVUE
04;0;245;VOLX;; C;0100;;;00034;B034;;LES PRES;5040;;E - Eaux;5040;P - Propriétaire;PBBXT6;705650109;0 - Personnes morales non remarquables ;5599;SA;SOCIETE CANAL DE LA BRILLANNE
04;0;245;VOLX;; A;0928;;;00009;B009;;LES ESTRECHS;5090;;S - Sols;5090;P - Propriétaire;PBCCS8;220400014;3 - Département ;7220;DEPT;DEPARTEMENT DES ALPES DE HAUTE PROVENCE
04;0;245;VOLX;; C;2806;;;00031;B031;;LE PLAN;5113;;S - Sols;5113;G - Gérant, mandataire, gestionnaire;PBCGW4;U15371811;0 - Personnes morales non remarquables ;9900;AUPM;EDF DTEAM CC PFA DFL
04;0;245;VOLX;; C;2806;;;00031;B031;;LE PLAN;5113;;S - Sols;5113;P - Propriétaire;P998ZQ;552081317;0 - Personnes morales non remarquables ;5599;SA;ELECTRICITE DE FRANCE
04;0;245;VOLX;; B;2608;;;00041;B041;;SAINT ROCH;5125;;VE - Vergers;5125;P - Propriétaire;PBB4HB;392186367;0 - Personnes morales non remarquables ;6538;GFR;LES ARRIGES
04;0;245;VOLX;; C;0738;;;00032;B032;;LA POINTE;5130;;BT - Taillis simples;5130;P - Propriétaire;PBBXFW;443913181;0 - Personnes morales non remarquables ;6534;GFA;SAINT CLEMENT
04;0;245;VOLX;; C;0938;;;00008;B008;;LA CROUSTASSE;5150;;T - Terre;5150;B - Bailleur à construction ;PBBXQC;334501673;0 - Personnes morales non remarquables ;6534;GFA;GFA DU GRAND LOGIS
04;0;245;VOLX;; C;0711;;;00029;B029;;LA PIOLANCHE;5150;;T - Terre;5150;P - Propriétaire;PBBXFW;443913181;0 - Personnes morales non remarquables ;6534;GFA;SAINT CLEMENT
04;0;245;VOLX;; C;0938;;;00008;B008;;LA CROUSTASSE;5150;;T - Terre;5150;R - Preneur à construction ;PBB7H2;335145694;0 - Personnes morales non remarquables ;9900;AUPM;LE GRAND LOGIS
04;0;245;VOLX;; C;0739;;;00032;B032;;LA POINTE;5160;;T - Terre;5160;P - Propriétaire;PBBXFW;443913181;0 - Personnes morales non remarquables ;6534;GFA;SAINT CLEMENT
04;0;245;VOLX;; A;0109;;;00043;B043;;SARZEN;5175;;L - Landes;5175;P - Propriétaire;PBBVB7;210402459;4 - Commune;7210;COM;COMMUNE DE VOLX
04;0;245;VOLX;; B;0694;;;00012;B012;;FONTAMAURRI;5180;;L - Landes;5180;P - Propriétaire;PBBVB7;210402459;4 - Commune;7210;COM;COMMUNE DE VOLX
04;0;245;VOLX;; C;0792;;;00010;B010;;LES EYRAUDS;5210;;E - Eaux;5210;P - Propriétaire;PBBXT6;705650109;0 - Personnes morales non remarquables ;5599;SA;SOCIETE CANAL DE LA BRILLANNE
04;0;245;VOLX;; C;0937;;;00008;B008;;LA CROUSTASSE;5235;;T - Terre;5235;B - Bailleur à construction ;PBBXQC;334501673;0 - Personnes morales non remarquables ;6534;GFA;GFA DU GRAND LOGIS
04;0;245;VOLX;; C;0937;;;00008;B008;;LA CROUSTASSE;5235;;T - Terre;5235;R - Preneur à construction ;PBB7H2;335145694;0 - Personnes morales non remarquables ;9900;AUPM;LE GRAND LOGIS
04;0;245;VOLX;; C;1669;;;00034;B034;;LES PRES;5250;;E - Eaux;5250;P - Propriétaire;PBBXT6;705650109;0 - Personnes morales non remarquables ;5599;SA;SOCIETE CANAL DE LA BRILLANNE
04;0;245;VOLX;; C;0942;;;00008;B008;;LA CROUSTASSE;5280;;T - Terre;5280;B - Bailleur à construction ;PBBXQC;334501673;0 - Personnes morales non remarquables ;6534;GFA;GFA DU GRAND LOGIS
04;0;245;VOLX;; C;0942;;;00008;B008;;LA CROUSTASSE;5280;;T - Terre;5280;R - Preneur à construction ;PBB7H2;335145694;0 - Personnes morales non remarquables ;9900;AUPM;LE GRAND LOGIS
04;0;245;VOLX;; A;0028;;;00036;B036;;LA ROULIERE;5300;;L - Landes;5300;P - Propriétaire;PBBVB7;210402459;4 - Commune;7210;COM;COMMUNE DE VOLX
04;0;245;VOLX;; C;0867;;;00002;B002;;BAJOURIN;5320;;T - Terre;5320;P - Propriétaire;PBB4HB;392186367;0 - Personnes morales non remarquables ;6538;GFR;LES ARRIGES
04;0;245;VOLX;; A;0666;;;00040;B040;;SAINT MARTIN;5437;;BT - Taillis simples;5437;P - Propriétaire;PBBXKK;443905864;0 - Personnes morales non remarquables ;6540;SCI;BELLEVUE
04;0;245;VOLX;; A;0690;;;00043;B043;;SARZEN;5500;;BT - Taillis simples;5500;P - Propriétaire;PBBVB7;210402459;4 - Commune;7210;COM;COMMUNE DE VOLX
04;0;245;VOLX;; C;0941;;;00008;B008;;LA CROUSTASSE;5510;;T - Terre;5510;B - Bailleur à construction ;PBBXQC;334501673;0 - Personnes morales non remarquables ;6534;GFA;GFA DU GRAND LOGIS
04;0;245;VOLX;; C;0941;;;00008;B008;;LA CROUSTASSE;5510;;T - Terre;5510;R - Preneur à construction ;PBB7H2;335145694;0 - Personnes morales non remarquables ;9900;AUPM;LE GRAND LOGIS
04;0;245;VOLX;;AE;0006;;;00011;B011;;FONT DE LAGIER;5622;;L - Landes;5622;P - Propriétaire;PBCZ9Q;280400169;9 - Établissements publics ou organismes associés;7372;SDIS;SCE DEPARTEMENTAL INCENDIE ET SECOURS
04;0;245;VOLX;; C;1302;;;00033;B033;;PONT D AI;5660;;T - Terre;5660;P - Propriétaire;PBC38W;418959649;0 - Personnes morales non remarquables ;5710;SAS;LE CLAVEAU
04;0;245;VOLX;; A;0012;;;00036;B036;;LA ROULIERE;5700;;BF - Futaies Feuillues;5700;P - Propriétaire;PBBXKR;348747007;0 - Personnes morales non remarquables ;6540;SCI;DE ROUILLERE
04;0;245;VOLX;; C;2451;;;00018;B018;;LE GRAVAS;5720;;BT - Taillis simples;5720;P - Propriétaire;PBDBLC;850622002;0 - Personnes morales non remarquables ;5710;SAS;VOLX LE PLAN
04;0;245;VOLX;; A;0031;;;00036;B036;;LA ROULIERE;5725;;BT - Taillis simples;5725;P - Propriétaire;PBBVB7;210402459;4 - Commune;7210;COM;COMMUNE DE VOLX
04;0;245;VOLX;; C;0800;;;00003;B003;;LA BASTIDE NEUVE;5740;;T - Terre;5740;P - Propriétaire;PBB4MT;413819491;0 - Personnes morales non remarquables ;6534;GFA;GFA DES BASTIDES
04;0;245;VOLX;;AB;0106;;;00035;B035;;RATAVOUS;5779;;VE - Vergers;5779;P - Propriétaire;PBB4HB;392186367;0 - Personnes morales non remarquables ;6538;GFR;LES ARRIGES
04;0;245;VOLX;; C;0737;;;00032;B032;;LA POINTE;5780;;AG - Terrains d’agrément;5780;P - Propriétaire;PBBXFW;443913181;0 - Personnes morales non remarquables ;6534;GFA;SAINT CLEMENT
04;0;245;VOLX;;AI;0048;;;00044;B044;;TABAZA;5791;;L - Landes;5791;P - Propriétaire;PBCZ33;378568638;0 - Personnes morales non remarquables ;5710;SAS;IMMALDI ET COMPAGNIE
04;0;245;VOLX;;AI;0140;;;00044;B044;;TABAZA;5838;;T - Terre;5838;P - Propriétaire;PBB4HB;392186367;0 - Personnes morales non remarquables ;6538;GFR;LES ARRIGES
04;0;245;VOLX;; C;0182;;;00034;B034;;LES PRES;5840;;T - Terre;5840;P - Propriétaire;PBB4HB;392186367;0 - Personnes morales non remarquables ;6538;GFR;LES ARRIGES
04;0;245;VOLX;; C;0270;;;00011;B011;;FONT DE LAGIER;5860;;T - Terre;5860;P - Propriétaire;PBB4HB;392186367;0 - Personnes morales non remarquables ;6538;GFR;LES ARRIGES
04;0;245;VOLX;;AI;0126;;;00044;B044;;TABAZA;5870;;T - Terre;5870;P - Propriétaire;PBB4HB;392186367;0 - Personnes morales non remarquables ;6538;GFR;LES ARRIGES
04;0;245;VOLX;; C;0216;;;00034;B034;;LES PRES;5910;;T - Terre;5910;P - Propriétaire;PBC38W;418959649;0 - Personnes morales non remarquables ;5710;SAS;LE CLAVEAU
04;0;245;VOLX;; C;0250;;;00034;B034;;LES PRES;6070;;T - Terre;6070;P - Propriétaire;PBB4HB;392186367;0 - Personnes morales non remarquables ;6538;GFR;LES ARRIGES
04;0;245;VOLX;; C;0894;;;00018;B018;;LE GRAVAS;6225;;T - Terre;6225;P - Propriétaire;PBB4MT;413819491;0 - Personnes morales non remarquables ;6534;GFA;GFA DES BASTIDES
04;0;245;VOLX;; A;0376;;;00005;B005;;BELLE VUE;6230;;L - Landes;6230;P - Propriétaire;P99999;U23691569;1 - État ;7113;ETAT;ETAT PAR DIRECTION DE L IMMOBILIER DE L ETAT
04;0;245;VOLX;; C;0891;;;00018;B018;;LE GRAVAS;6230;;T - Terre;6230;P - Propriétaire;PBBXQC;334501673;0 - Personnes morales non remarquables ;6534;GFA;GFA DU GRAND LOGIS
04;0;245;VOLX;; A;0376;;;00005;B005;;BELLE VUE;6230;;L - Landes;6230;Z - Gestion d’un bien de l’État ;P995WV;662043116;9 - Établissements publics ou organismes associés;4110;EPIC;OFFICE NATIONAL DES FORETS
04;0;245;VOLX;; A;0347;;;00005;B005;;BELLE VUE;6240;;L - Landes;6240;P - Propriétaire;PBBVB7;210402459;4 - Commune;7210;COM;COMMUNE DE VOLX
04;0;245;VOLX;; A;0002;;;00036;B036;;LA ROULIERE;6250;;BF - Futaies Feuillues;6250;P - Propriétaire;PBBXKR;348747007;0 - Personnes morales non remarquables ;6540;SCI;DE ROUILLERE
04;0;245;VOLX;; C;0278;;;00011;B011;;FONT DE LAGIER;6290;;VE - Vergers;6290;P - Propriétaire;PBBXQC;334501673;0 - Personnes morales non remarquables ;6534;GFA;GFA DU GRAND LOGIS
04;0;245;VOLX;; C;2787;;;00003;B003;;LA BASTIDE NEUVE;6312;;S - Sols;6312;P - Propriétaire;PBB4MT;413819491;0 - Personnes morales non remarquables ;6534;GFA;GFA DES BASTIDES
04;0;245;VOLX;; C;0875;;;00002;B002;;BAJOURIN;6345;;T - Terre;6345;P - Propriétaire;PBB4HB;392186367;0 - Personnes morales non remarquables ;6538;GFR;LES ARRIGES
04;0;245;VOLX;; C;0895;;;00018;B018;;LE GRAVAS;6420;;T - Terre;6420;P - Propriétaire;PBB4MT;413819491;0 - Personnes morales non remarquables ;6534;GFA;GFA DES BASTIDES
04;0;245;VOLX;; C;0208;;;00034;B034;;LES PRES;6490;;T - Terre;6490;P - Propriétaire;PBB4HB;392186367;0 - Personnes morales non remarquables ;6538;GFR;LES ARRIGES
04;0;245;VOLX;;AH;0232;;;00014;B014;;LA GARE;6526;;L - Landes;6526;P - Propriétaire;PBB82V;210402459;4 - Commune;7210;COM;COMMUNE DE VOLX
04;0;245;VOLX;; C;0272;;;00011;B011;;FONT DE LAGIER;6530;;T - Terre;6530;P - Propriétaire;PBB4HB;392186367;0 - Personnes morales non remarquables ;6538;GFR;LES ARRIGES
04;0;245;VOLX;; C;0929;;;00008;B008;;LA CROUSTASSE;6560;;T - Terre;6560;G - Gérant, mandataire, gestionnaire;PBCGW4;U15371811;0 - Personnes morales non remarquables ;9900;AUPM;EDF DTEAM CC PFA DFL
