Département;Code Direction;Code Commune;Nom de la commune;Préfixe;Section;N° plan;N° voirie;Indice de répétition;Code voie MAJIC;Code voie Rivoli;Nature voie;Nom voie;Contenance;SUF;Nature culture;Contenance.1;Code droit - par;N° Majic - par;N° SIREN - par;Groupe personne - par;Forme juridique - par;Forme juridique abrégée - par;Dénomination - par
86;0;293;VIVONNE;; A;0030;;;00257;B256;;LES NAUBUISSONS;1680;;T - Terre;1680;U - Usufruitier ;PBCJTF;429305865;0 - Personnes morales non remarquables ;6598;EARL;GARDENIA
86;0;293;VIVONNE;; A;0031;;;00257;B256;;LES NAUBUISSONS;1680;;T - Terre;1680;U - Usufruitier ;PBCJTF;429305865;0 - Personnes morales non remarquables ;6598;EARL;GARDENIA
86;0;293;VIVONNE;;AW;0034;;;00241;B240;;LES LONGEES;1683;;T - Terre;1683;P - Propriétaire;PBBBSN;218602936;4 - Commune;7210;COM;COMMUNE DE VIVONNE
86;0;293;VIVONNE;;AK;0266;;;00376;B375;;LES VALLEES;1691;;S - Sols;1691;P - Propriétaire;PBBSK3;278600010;5 - Office HLM;4140;EPIC;OFFICE PUBLIC DE L HABITAT DE LA VIENNE
86;0;293;VIVONNE;;ZB;0114;0011;;00049;B048;;BOISCOUTANT;1733;;S - Sols;1733;P - Propriétaire;PBCJ3M;534780903;0 - Personnes morales non remarquables ;6540;SCI;SCI J2F
86;0;293;VIVONNE;;AL;0020;;;00051;B050;;LE BOURG;1738;;J - Jardins;1738;P - Propriétaire;PBCXPB;488402678;0 - Personnes morales non remarquables ;5499;SARL;C B F
86;0;293;VIVONNE;; D;0013;;;00096;B095;;CHAMP DU TREUIL;1740;;T - Terre;1740;P - Propriétaire;PBCW9J;789237062;0 - Personnes morales non remarquables ;6540;SCI;SCI DES SABLONS
86;0;293;VIVONNE;;ZI;0113;;;00056;B055;;BRANDES DE CERSIGNY;1760;;AB - Terrains à bâtir;1760;P - Propriétaire;PBBBSN;218602936;4 - Commune;7210;COM;COMMUNE DE VIVONNE
86;0;293;VIVONNE;;AT;0199;;;00347;B346;;LES SABLONS;1771;;BT - Taillis simples;1771;P - Propriétaire;PBCZBQ;481432623;0 - Personnes morales non remarquables ;5499;SARL;THIBAULT
86;0;293;VIVONNE;; H;0417;;;00071;B070;;CERCIGNY;1780;;VE - Vergers;1780;P - Propriétaire;PBBPMP;443183017;0 - Personnes morales non remarquables ;6540;SCI;SCI CERCIGNY
86;0;293;VIVONNE;;AN;0068;;;00437;0410;AV;HENRI PETONNET;1783;;S - Sols;1783;P - Propriétaire;PBBBSN;218602936;4 - Commune;7210;COM;COMMUNE DE VIVONNE
86;0;293;VIVONNE;; E;0651;;;00292;B291;;LE POIRIER;1785;;BT - Taillis simples;1785;P - Propriétaire;PBB83W;228600011;3 - Département ;7220;DEPT;DEPARTEMENT DE LA VIENNE
