Département;Code Direction;Code Commune;Nom de la commune;Préfixe;Section;N° plan;N° voirie;Indice de répétition;Code voie MAJIC;Code voie Rivoli;Nature voie;Nom voie;Contenance;SUF;Nature culture;Contenance.1;Code droit - par;N° Majic - par;N° SIREN - par;Groupe personne - par;Forme juridique - par;Forme juridique abrégée - par;Dénomination - par
973;3;309;REMIRE MONTJOLY;;BI;0147;;;00211;0056;AV;JEAN MICHOTTE;305;;S - Sols;305;P - Propriétaire;PBBBGW;432766947;0 - Personnes morales non remarquables ;5599;SA;FRANCE TELEVISIONS
973;3;309;REMIRE MONTJOLY;;AP;0961;9002;;00153;0079;RTE;DU ROROTA;305;;AB - Terrains à bâtir;305;R - Preneur à construction ;PBBS64;949350276;0 - Personnes morales non remarquables ;5710;SAS;LOGIS ROROTA
973;3;309;REMIRE MONTJOLY;;AC;1187;;;00132;0011;;ROUTE DEPARTEMENTALE 1;306;;S - Sols;306;P - Propriétaire;PBBF3J;451394142;0 - Personnes morales non remarquables ;6540;SCI;ACACIA
973;3;309;REMIRE MONTJOLY;;AB;0708;;;00054;B021;;POUPON;307;;L - Landes;307;P - Propriétaire;PBBBDT;U28251542;0 - Personnes morales non remarquables ;9900;AUPM;CONSERVATOIRE DE L'ESPACE LITTORAL ET DES RIVAGES LACUSTRES
973;3;309;REMIRE MONTJOLY;;BM;0296;;;00154;0086;RTE;DE REMIRE (RD2);311;;S - Sols;311;P - Propriétaire;PBBM6N;333361111;0 - Personnes morales non remarquables ;5599;SA;SOCIETE COMMUNALE DE SAINT MARTIN
973;3;309;REMIRE MONTJOLY;;AN;0951;0012;;00673;0431;RUE;CATTLEYA;313;;AB - Terrains à bâtir;313;P - Propriétaire;PBBFHF;443653720;0 - Personnes morales non remarquables ;6540;SCI;SCI RESIDENCES M ET P
973;3;309;REMIRE MONTJOLY;;AT;0345;;;00159;A024;LOT;DOMAINES PARC LINDOR;313;;L - Landes;313;P - Propriétaire;PBBBZ3;339845455;0 - Personnes morales non remarquables ;5499;SARL;SOC L'IMMOBILIERE GUYANAISE
973;3;309;REMIRE MONTJOLY;;AK;0947;;;00133;0013;;ROUTE DEPARTEMENTALE 2;314;;L - Landes;314;P - Propriétaire;PBBMB6;219733094;4 - Commune;7210;COM;COMMUNE DE REMIRE-MONTJOLY
973;3;309;REMIRE MONTJOLY;;BH;0166;;;00303;0178;RUE;LE GRAND BOULEVARD;314;;S - Sols;314;P - Propriétaire;P995XL;305934606;6 - Personnes morales représentant des sociétés d’économie mixte;5515;SEM;SOCIETE IMMOBILIERE DE KOUROU
973;3;309;REMIRE MONTJOLY;;BH;0210;;;00075;0095;AV;SAINT ANGE METHON (RD4);315;;L - Landes;315;P - Propriétaire;PBBBNR;219733094;4 - Commune;7210;COM;COMMUNE DE REMIRE-MONTJOLY
973;3;309;REMIRE MONTJOLY;;BM;0302;;;00154;0086;RTE;DE REMIRE (RD2);315;;S - Sols;315;P - Propriétaire;PBBM6N;333361111;0 - Personnes morales non remarquables ;5599;SA;SOCIETE COMMUNALE DE SAINT MARTIN
973;3;309;REMIRE MONTJOLY;;BH;0163;;;00303;0178;RUE;LE GRAND BOULEVARD;315;;S - Sols;315;P - Propriétaire;P995XL;305934606;6 - Personnes morales représentant des sociétés d’économie mixte;5515;SEM;SOCIETE IMMOBILIERE DE KOUROU
973;3;309;REMIRE MONTJOLY;;BM;0303;;;00154;0086;RTE;DE REMIRE (RD2);316;;S - Sols;316;P - Propriétaire;PBBM6N;333361111;0 - Personnes morales non remarquables ;5599;SA;SOCIETE COMMUNALE DE SAINT MARTIN
973;3;309;REMIRE MONTJOLY;;AS;1995;;;00042;B009;;LE GRAND BEAUREGARD;316;;L - Landes;316;P - Propriétaire;PBBM2D;304992993;0 - Personnes morales non remarquables ;5599;SA;SOC IMMOBILIERE DE LA GUYANE
973;3;309;REMIRE MONTJOLY;;AS;2484;;;00042;B009;;LE GRAND BEAUREGARD;317;;L - Landes;317;P - Propriétaire;PBBM2D;304992993;0 - Personnes morales non remarquables ;5599;SA;SOC IMMOBILIERE DE LA GUYANE
973;3;309;REMIRE MONTJOLY;;BH;0209;;;00075;0095;AV;SAINT ANGE METHON (RD4);320;;L - Landes;320;P - Propriétaire;PBBBNR;219733094;4 - Commune;7210;COM;COMMUNE DE REMIRE-MONTJOLY
973;3;309;REMIRE MONTJOLY;;AS;0508;;;00042;B009;;LE GRAND BEAUREGARD;320;;T - Terre;320;P - Propriétaire;PBBBZ3;339845455;0 - Personnes morales non remarquables ;5499;SARL;SOC L'IMMOBILIERE GUYANAISE
973;3;309;REMIRE MONTJOLY;;AS;2167;0002;;00693;0450;RUE;ARA BLEU;322;;S - Sols;322;P - Propriétaire;PBBQ6N;824712467;0 - Personnes morales non remarquables ;6540;SCI;FILAO 701
973;3;309;REMIRE MONTJOLY;;BM;0233;0072;;00489;0272;RUE;DES AIGRETTES;324;;S - Sols;324;P - Propriétaire;PBBQX9;851203596;0 - Personnes morales non remarquables ;6540;SCI;CHRISCASS
973;3;309;REMIRE MONTJOLY;;BH;0208;;;00075;0095;AV;SAINT ANGE METHON (RD4);325;;L - Landes;325;P - Propriétaire;PBBBNR;219733094;4 - Commune;7210;COM;COMMUNE DE REMIRE-MONTJOLY
