Département;Code Direction;Code Commune;Nom de la commune;Préfixe;Section;N° plan;N° voirie;Indice de répétition;Code voie MAJIC;Code voie Rivoli;Nature voie;Nom voie;Contenance;SUF;Nature culture;Contenance.1;Code droit - par;N° Majic - par;N° SIREN - par;Groupe personne - par;Forme juridique - par;Forme juridique abrégée - par;Dénomination - par
45;0;312;SOLTERRE;; B;0151;0074;;00051;0151;RTE;NATIONALE 7;760;;S - Sols;760;P - Propriétaire;PBCKRK;483089124;0 - Personnes morales non remarquables ;6540;SCI;T D H
45;0;312;SOLTERRE;; A;0732;0025;;00051;0151;RTE;NATIONALE 7;761;;S - Sols;761;P - Propriétaire;PBC5VG;520579178;0 - Personnes morales non remarquables ;6540;SCI;SCI FLOREVA
45;0;312;SOLTERRE;; B;0529;;;00011;B011;;LA COMMODITE;781;;J - Jardins;781;P - Propriétaire;PBCMHR;214503120;4 - Commune;7210;COM;COMMUNE DE SOLTERRE
45;0;312;SOLTERRE;; B;0099;0026;;00051;0151;RTE;NATIONALE 7;800;;S - Sols;800;P - Propriétaire;PBCMHR;214503120;4 - Commune;7210;COM;COMMUNE DE SOLTERRE
45;0;312;SOLTERRE;; A;0759;0013;;00051;0151;RTE;NATIONALE 7;801;;S - Sols;801;P - Propriétaire;PBCHNT;442153060;0 - Personnes morales non remarquables ;6540;SCI;SLEB
45;0;312;SOLTERRE;; A;0407;;;00002;B002;;L AUBIER VIOLETTE;816;;J - Jardins;816;P - Propriétaire;PBCMHR;214503120;4 - Commune;7210;COM;COMMUNE DE SOLTERRE
45;0;312;SOLTERRE;; B;0105;0032;;00051;0151;RTE;NATIONALE 7;844;;S - Sols;844;P - Propriétaire;PBCMHR;214503120;4 - Commune;7210;COM;COMMUNE DE SOLTERRE
45;0;312;SOLTERRE;; B;0680;;;00034;B034;;LES SABLES;886;;BT - Taillis simples;886;R - Preneur à construction ;PBDTJ8;904575602;0 - Personnes morales non remarquables ;5710;SAS;AQUITAINE ENERGY 6
45;0;312;SOLTERRE;; B;0116;;;00011;B011;;LA COMMODITE;889;;J - Jardins;889;P - Propriétaire;PBCMHR;214503120;4 - Commune;7210;COM;COMMUNE DE SOLTERRE
45;0;312;SOLTERRE;; B;0682;;;00034;B034;;LES SABLES;915;;BT - Taillis simples;915;R - Preneur à construction ;PBDTJ8;904575602;0 - Personnes morales non remarquables ;5710;SAS;AQUITAINE ENERGY 6
45;0;312;SOLTERRE;; A;0703;;;00019;B019;;LE GRAND FOUSSEROTTE;936;;T - Terre;936;P - Propriétaire;PBCMHR;214503120;4 - Commune;7210;COM;COMMUNE DE SOLTERRE
45;0;312;SOLTERRE;; B;0625;;;00034;B034;;LES SABLES;951;;S - Sols;951;P - Propriétaire;PBCHG9;440487874;0 - Personnes morales non remarquables ;6540;SCI;DAPAM2
45;0;312;SOLTERRE;; A;0476;0001;;00047;0150;RUE;LEON PLANCHERON;960;;S - Sols;960;P - Propriétaire;PBDLRV;879281293;0 - Personnes morales non remarquables ;6540;SCI;SD-ME ET FILS
45;0;312;SOLTERRE;; A;0369;;;00037;B037;;SOLTERRE;990;;T - Terre;990;P - Propriétaire;PBCCV9;319961546;0 - Personnes morales non remarquables ;6540;SCI;DES AIREDALES
45;0;312;SOLTERRE;; B;0179;0027;;00064;0162;CHE;DES SABLES;1000;;AB - Terrains à bâtir;1000;P - Propriétaire;PBCMHR;214503120;4 - Commune;7210;COM;COMMUNE DE SOLTERRE
45;0;312;SOLTERRE;; B;0455;;;00024;B024;;MARAIS CHAPEAU;1000;;T - Terre;1000;P - Propriétaire;PBDQGK;316933571;0 - Personnes morales non remarquables ;6599;SC;SOCIETE CIVILE AGRICOLE LA RENARDERIE
45;0;312;SOLTERRE;; B;0371;;;00034;B034;;LES SABLES;1000;;S - Sols;1000;P - Propriétaire;PBC9WC;488673005;0 - Personnes morales non remarquables ;5499;SARL;TRANSPHARMA
45;0;312;SOLTERRE;; B;0386;;;00016;B016;;LE FINIER;1015;;T - Terre;1015;P - Propriétaire;PBCCXX;321894669;0 - Personnes morales non remarquables ;6534;GFA;GFA DU FINIER
45;0;312;SOLTERRE;; A;0329;;;00037;B037;;SOLTERRE;1035;;J - Jardins;1035;P - Propriétaire;PBDMX5;852472190;4 - Commune;6540;SCI;SCI L'AIR DE RIEN
45;0;312;SOLTERRE;; B;0152;;;00034;B034;;LES SABLES;1050;;S - Sols;1050;P - Propriétaire;PBCKRK;483089124;0 - Personnes morales non remarquables ;6540;SCI;T D H
45;0;312;SOLTERRE;; B;0546;;;00034;B034;;LES SABLES;1074;;S - Sols;1074;P - Propriétaire;PBC7LK;383893815;0 - Personnes morales non remarquables ;6540;SCI;SCI LES COMBES
45;0;312;SOLTERRE;; A;0569;;;00001;B001;;ANCIEN PARC DE SOLTERRE;1119;;BT - Taillis simples;1119;P - Propriétaire;PBCCV9;319961546;0 - Personnes morales non remarquables ;6540;SCI;DES AIREDALES
45;0;312;SOLTERRE;; A;0771;5069;;00065;0163;RUE;DU BOURG;1203;;T - Terre;1203;P - Propriétaire;PBDMX5;852472190;4 - Commune;6540;SCI;SCI L'AIR DE RIEN
45;0;312;SOLTERRE;; B;0040;;;00031;B031;;PIECES DES VIGNES;1215;;T - Terre;1215;P - Propriétaire;PBDQGK;316933571;0 - Personnes morales non remarquables ;6599;SC;SOCIETE CIVILE AGRICOLE LA RENARDERIE
45;0;312;SOLTERRE;; B;0039;;;00031;B031;;PIECES DES VIGNES;1280;;T - Terre;1280;P - Propriétaire;PBCDRS;348196593;0 - Personnes morales non remarquables ;6534;GFA;GFA LES VIGNES
45;0;312;SOLTERRE;; A;0705;;;00019;B019;;LE GRAND FOUSSEROTTE;1298;;T - Terre;1298;P - Propriétaire;PBCMHR;214503120;4 - Commune;7210;COM;COMMUNE DE SOLTERRE
45;0;312;SOLTERRE;; A;0161;;;00002;B002;;L AUBIER VIOLETTE;1300;;T - Terre;1300;G - Gérant, mandataire, gestionnaire;P9MBFT;552049447;9 - Établissements publics ou organismes associés;5599;SA;SOCIETE NATIONALE SNCF
45;0;312;SOLTERRE;; A;0161;;;00002;B002;;L AUBIER VIOLETTE;1300;;T - Terre;1300;P - Propriétaire;P9999Z;552049447;9 - Établissements publics ou organismes associés;5599;SA;SOCIETE NATIONALE SNCF
45;0;312;SOLTERRE;; B;0628;;;00016;B016;;LE FINIER;1303;;T - Terre;1303;P - Propriétaire;PBC2D7;523380053;0 - Personnes morales non remarquables ;6540;SCI;SCI DU FINIER
45;0;312;SOLTERRE;; B;0385;;;00016;B016;;LE FINIER;1305;;T - Terre;1305;P - Propriétaire;PBCCXX;321894669;0 - Personnes morales non remarquables ;6534;GFA;GFA DU FINIER
45;0;312;SOLTERRE;; A;0761;;;00051;0151;RTE;NATIONALE 7;1320;;AB - Terrains à bâtir;1320;P - Propriétaire;PBCHNT;442153060;0 - Personnes morales non remarquables ;6540;SCI;SLEB
45;0;312;SOLTERRE;; B;0555;;;00034;B034;;LES SABLES;1342;;S - Sols;1342;P - Propriétaire;PBC7LK;383893815;0 - Personnes morales non remarquables ;6540;SCI;SCI LES COMBES
45;0;312;SOLTERRE;; A;0323;;;00037;B037;;SOLTERRE;1345;;T - Terre;1345;P - Propriétaire;PBCCV9;319961546;0 - Personnes morales non remarquables ;6540;SCI;DES AIREDALES
45;0;312;SOLTERRE;; A;0370;;;00037;B037;;SOLTERRE;1420;;S - Sols;1420;P - Propriétaire;PBCCV9;319961546;0 - Personnes morales non remarquables ;6540;SCI;DES AIREDALES
45;0;312;SOLTERRE;; B;0630;;;00023;B023;;HAUTEUR DU FINIER;1455;;T - Terre;1455;P - Propriétaire;PBC2D7;523380053;0 - Personnes morales non remarquables ;6540;SCI;SCI DU FINIER
45;0;312;SOLTERRE;; A;0258;;;00044;B044;;LES VIGNAUX;1530;;T - Terre;1530;P - Propriétaire;PBCCV9;319961546;0 - Personnes morales non remarquables ;6540;SCI;DES AIREDALES
45;0;312;SOLTERRE;; B;0510;;;00011;B011;;LA COMMODITE;1573;;S - Sols;1573;P - Propriétaire;PBDD34;825323439;0 - Personnes morales non remarquables ;6540;SCI;SCI MLC2
45;0;312;SOLTERRE;; A;0741;;;00019;B019;;LE GRAND FOUSSEROTTE;1584;;T - Terre;1584;P - Propriétaire;PBCMHR;214503120;4 - Commune;7210;COM;COMMUNE DE SOLTERRE
45;0;312;SOLTERRE;; B;0107;;;00011;B011;;LA COMMODITE;1760;;T - Terre;1760;P - Propriétaire;PBCMHR;214503120;4 - Commune;7210;COM;COMMUNE DE SOLTERRE
45;0;312;SOLTERRE;; A;0156;;;00002;B002;;L AUBIER VIOLETTE;1900;;S - Sols;1900;P - Propriétaire;PBCMHR;214503120;4 - Commune;7210;COM;COMMUNE DE SOLTERRE
45;0;312;SOLTERRE;; A;0244;;;00057;B057;;TERRE DE LA MAISON ROUGE;1990;;T - Terre;1990;P - Propriétaire;PBCCV9;319961546;0 - Personnes morales non remarquables ;6540;SCI;DES AIREDALES
45;0;312;SOLTERRE;; B;0565;;;00011;B011;;LA COMMODITE;1995;;T - Terre;1995;P - Propriétaire;PBCMHR;214503120;4 - Commune;7210;COM;COMMUNE DE SOLTERRE
45;0;312;SOLTERRE;; A;0738;5069;;00055;0155;RTE;DE LA GARE;2091;;AG - Terrains d’agrément;2091;P - Propriétaire;PBC3W3;538149204;0 - Personnes morales non remarquables ;6540;SCI;ALTIN
45;0;312;SOLTERRE;; B;0672;;;00033;B033;;LA RENARDERIE;2105;;T - Terre;2105;P - Propriétaire;PBDP6D;885056317;0 - Personnes morales non remarquables ;6540;SCI;SCI FERME DE LA RENARDERIE
45;0;312;SOLTERRE;; A;0531;;;00013;B013;;LE CREUSOT;2132;;S - Sols;2132;P - Propriétaire;P9959W;531680445;0 - Personnes morales non remarquables ;5710;SAS;TOTALENERGIES MARKETING FRANCE
45;0;312;SOLTERRE;; A;0649;;;00012;B012;;LES COURS BASSES;2215;;S - Sols;2215;P - Propriétaire;PBCMHR;214503120;4 - Commune;7210;COM;COMMUNE DE SOLTERRE
45;0;312;SOLTERRE;; B;0536;;;00007;B007;;CHEMIN DE TARTEMIN;2313;;BT - Taillis simples;2313;P - Propriétaire;PBCMHR;214503120;4 - Commune;7210;COM;COMMUNE DE SOLTERRE
45;0;312;SOLTERRE;; B;0113;;;00011;B011;;LA COMMODITE;2317;;T - Terre;2317;P - Propriétaire;PBCMHR;214503120;4 - Commune;7210;COM;COMMUNE DE SOLTERRE
45;0;312;SOLTERRE;; B;0309;;;00011;B011;;LA COMMODITE;2333;;T - Terre;2333;P - Propriétaire;PBCMHR;214503120;4 - Commune;7210;COM;COMMUNE DE SOLTERRE
45;0;312;SOLTERRE;; A;0029;;;00009;B009;;LES CHESNEAUX;2425;;T - Terre;2425;P - Propriétaire;PBCMHR;214503120;4 - Commune;7210;COM;COMMUNE DE SOLTERRE
45;0;312;SOLTERRE;; A;0325;;;00037;B037;;SOLTERRE;2435;;S - Sols;2435;P - Propriétaire;PBDMX5;852472190;4 - Commune;6540;SCI;SCI L'AIR DE RIEN
45;0;312;SOLTERRE;; A;0632;;;00011;B011;;LA COMMODITE;2469;;S - Sols;2469;P - Propriétaire;PBDKF8;848448270;0 - Personnes morales non remarquables ;6540;SCI;SCI DU BUISSON
45;0;312;SOLTERRE;; A;0245;;;00057;B057;;TERRE DE LA MAISON ROUGE;2503;;T - Terre;2503;P - Propriétaire;PBCCV9;319961546;0 - Personnes morales non remarquables ;6540;SCI;DES AIREDALES
45;0;312;SOLTERRE;; B;0305;;;00006;B006;;CHEMIN DE SAINT HILAIRE;2640;;T - Terre;2640;P - Propriétaire;PBCCV9;319961546;0 - Personnes morales non remarquables ;6540;SCI;DES AIREDALES
45;0;312;SOLTERRE;; A;0288;;;00018;B018;;LE GRAND BOIS;2655;;BT - Taillis simples;2655;P - Propriétaire;PBDMX5;852472190;4 - Commune;6540;SCI;SCI L'AIR DE RIEN
45;0;312;SOLTERRE;; A;0331;0001;;00065;0163;RUE;DU BOURG;2670;;S - Sols;2670;P - Propriétaire;PBDMX5;852472190;4 - Commune;6540;SCI;SCI L'AIR DE RIEN
45;0;312;SOLTERRE;; B;0117;;;00011;B011;;LA COMMODITE;2687;;AG - Terrains d’agrément;2687;P - Propriétaire;PBCMHR;214503120;4 - Commune;7210;COM;COMMUNE DE SOLTERRE
45;0;312;SOLTERRE;; B;0635;;;00016;B016;;LE FINIER;2793;;T - Terre;2793;P - Propriétaire;PBCCXX;321894669;0 - Personnes morales non remarquables ;6534;GFA;GFA DU FINIER
45;0;312;SOLTERRE;; B;0635;;;00016;B016;;LE FINIER;2793;;T - Terre;2793;P - Propriétaire;PBC2D7;523380053;0 - Personnes morales non remarquables ;6540;SCI;SCI DU FINIER
45;0;312;SOLTERRE;; B;0027;;;00011;B011;;LA COMMODITE;2995;;BT - Taillis simples;2995;P - Propriétaire;PBDD34;825323439;0 - Personnes morales non remarquables ;6540;SCI;SCI MLC2
45;0;312;SOLTERRE;; B;0633;;;00016;B016;;LE FINIER;3308;;T - Terre;3308;P - Propriétaire;PBCCXX;321894669;0 - Personnes morales non remarquables ;6534;GFA;GFA DU FINIER
45;0;312;SOLTERRE;; B;0633;;;00016;B016;;LE FINIER;3308;;T - Terre;3308;P - Propriétaire;PBC2D7;523380053;0 - Personnes morales non remarquables ;6540;SCI;SCI DU FINIER
45;0;312;SOLTERRE;; A;0190;;;00010;B010;;CLIMAT DE LA HAIE DES DAME;3355;;T - Terre;3355;P - Propriétaire;PBCCV9;319961546;0 - Personnes morales non remarquables ;6540;SCI;DES AIREDALES
45;0;312;SOLTERRE;; A;0516;;;00018;B018;;LE GRAND BOIS;3361;;BT - Taillis simples;3361;P - Propriétaire;PBDMX5;852472190;4 - Commune;6540;SCI;SCI L'AIR DE RIEN
45;0;312;SOLTERRE;; B;0656;;;00033;B033;;LA RENARDERIE;3365;;S - Sols;3365;P - Propriétaire;PBDP6D;885056317;0 - Personnes morales non remarquables ;6540;SCI;SCI FERME DE LA RENARDERIE
45;0;312;SOLTERRE;; A;0692;;;00044;B044;;LES VIGNAUX;3394;;T - Terre;3394;P - Propriétaire;PBDMLX;319961546;0 - Personnes morales non remarquables ;6540;SCI;DES AIREDALES
45;0;312;SOLTERRE;; B;0041;;;00031;B031;;PIECES DES VIGNES;3423;;T - Terre;3423;P - Propriétaire;PBDQGK;316933571;0 - Personnes morales non remarquables ;6599;SC;SOCIETE CIVILE AGRICOLE LA RENARDERIE
