Département;Code Direction;Code Commune;Nom de la commune;Préfixe;Section;N° plan;N° voirie;Indice de répétition;Code voie MAJIC;Code voie Rivoli;Nature voie;Nom voie;Contenance;SUF;Nature culture;Contenance.1;Code droit - par;N° Majic - par;N° SIREN - par;Groupe personne - par;Forme juridique - par;Forme juridique abrégée - par;Dénomination - par
972;2;229;SCHOELCHER;; V;0317;;;00064;B090;;FOND LAHAYE;112;;L - Landes;112;G - Gérant, mandataire, gestionnaire;PBBCKX;U12744738;1 - État ;9900;AUPM;ETAT FRANCE DOMAINE 50 PAS GEOMETRIQUES
972;2;229;SCHOELCHER;; V;1150;0024;;00312;0285;RUE;GEORGES NADEAU;112;;S - Sols;112;G - Gérant, mandataire, gestionnaire;PBBCKX;U12744738;1 - État ;9900;AUPM;ETAT FRANCE DOMAINE 50 PAS GEOMETRIQUES
972;2;229;SCHOELCHER;; V;0076;;;00062;B080;;FOND BERNIER;112;;S - Sols;112;G - Gérant, mandataire, gestionnaire;PBBCKX;U12744738;1 - État ;9900;AUPM;ETAT FRANCE DOMAINE 50 PAS GEOMETRIQUES
972;2;229;SCHOELCHER;; V;0317;;;00064;B090;;FOND LAHAYE;112;;L - Landes;112;P - Propriétaire;PBBC7X;U28071229;1 - État ;7113;ETAT;ETAT MINISTERE DE L ECONOMIE ET DES FINANCES
972;2;229;SCHOELCHER;; V;1150;0024;;00312;0285;RUE;GEORGES NADEAU;112;;S - Sols;112;P - Propriétaire;PBBC7X;U28071229;1 - État ;7113;ETAT;ETAT MINISTERE DE L ECONOMIE ET DES FINANCES
972;2;229;SCHOELCHER;; V;0076;;;00062;B080;;FOND BERNIER;112;;S - Sols;112;P - Propriétaire;PBBC7X;U28071229;1 - État ;7113;ETAT;ETAT MINISTERE DE L ECONOMIE ET DES FINANCES
972;2;229;SCHOELCHER;; V;1312;0046;;00344;0370;RUE;JOSEPH SOUFFLEUR;113;;BT - Taillis simples;113;G - Gérant, mandataire, gestionnaire;PBBCKX;U12744738;1 - État ;9900;AUPM;ETAT FRANCE DOMAINE 50 PAS GEOMETRIQUES
972;2;229;SCHOELCHER;; H;0586;;;00015;A016;LOT;PLATEAU ROY;113;;S - Sols;113;P - Propriétaire;PBB3HM;200055507;2 - Région;7229;COLL;COLLECTIVITE TERRITORIALE DE MARTINIQUE
972;2;229;SCHOELCHER;; V;1312;0046;;00344;0370;RUE;JOSEPH SOUFFLEUR;113;;BT - Taillis simples;113;P - Propriétaire;PBBC7X;U28071229;1 - État ;7113;ETAT;ETAT MINISTERE DE L ECONOMIE ET DES FINANCES
972;2;229;SCHOELCHER;; V;0366;0001;;00321;0310;RUE;JOSEPH PIERRE - EMILE;113;;S - Sols;113;P - Propriétaire;PBB9KP;948039946;0 - Personnes morales non remarquables ;5710;SAS;MG STANDING
