Département;Code Direction;Code Commune;Nom de la commune;Préfixe;Section;N° plan;N° voirie;Indice de répétition;Code voie MAJIC;Code voie Rivoli;Nature voie;Nom voie;Contenance;SUF;Nature culture;Contenance.1;Code droit - par;N° Majic - par;N° SIREN - par;Groupe personne - par;Forme juridique - par;Forme juridique abrégée - par;Dénomination - par
56;0;260;VANNES;;CL;0045;9004;;01057;0913;RUE;DOC SCHWEITZER;199;;S - Sols;199;P - Propriétaire;PBDWWP;793535824;0 - Personnes morales non remarquables ;6540;SCI;LA BRISE
56;0;260;VANNES;;AP;0653;0047;B;01338;2420;RUE;DE METZ;199;;AB - Terrains à bâtir;199;P - Propriétaire;PBFP6W;882415557;0 - Personnes morales non remarquables ;6541;SCI;LE CLOS DES VENETES
56;0;260;VANNES;;AP;0654;0047;B;01338;2420;RUE;DE METZ;199;;AB - Terrains à bâtir;199;P - Propriétaire;PBFP6W;882415557;0 - Personnes morales non remarquables ;6541;SCI;LE CLOS DES VENETES
56;0;260;VANNES;;CI;0557;;;01322;2347;AV;DU MAL JUIN;199;;S - Sols;199;P - Propriétaire;PBDGQS;275600047;5 - Office HLM;4140;EPIC;OFFICE PUBLIC DE L'HABITAT DU MORBIHAN
56;0;260;VANNES;;CY;0648;;;00450;B382;;PEH BRAS;199;;S - Sols;199;P - Propriétaire;PBDP77;533071056;0 - Personnes morales non remarquables ;5710;SAS;SAS VANNES RIVE OUEST
56;0;260;VANNES;;AZ;0742;;;01127;1240;RUE;GAL GIRAUD;199;;S - Sols;199;P - Propriétaire;PBFRXB;900893694;0 - Personnes morales non remarquables ;6540;SCI;SCI CARLIER
56;0;260;VANNES;;BD;0343;;;00119;B050;;KERIVARHO;199;;S - Sols;199;P - Propriétaire;PBFMSC;811017573;0 - Personnes morales non remarquables ;6540;SCI;SCI DU GRAND REZE
56;0;260;VANNES;;DM;0074;;;00089;B020;;CAMSQUEL;199;;CH - Chemins de fer, Canaux de Navigation;199;P - Propriétaire;P9999Z;552049447;9 - Établissements publics ou organismes associés;5599;SA;SOCIETE NATIONALE SNCF
56;0;260;VANNES;;CT;0212;;;01536;3530;RUE;DES VENETES;200;;AG - Terrains d’agrément;200;P - Propriétaire;PBBKB3;U26913396;0 - Personnes morales non remarquables ;9900;AUPM;ASSOCIATION SYNDICALE DU LOTISSEMENT DOMAINE DE ST FIACRE
56;0;260;VANNES;;CR;0432;;;00810;B743;;LOT ND DE LOURDES;200;;L - Landes;200;P - Propriétaire;PBBG6X;U26835426;0 - Personnes morales non remarquables ;9900;AUPM;ASS SYNDICALE DU LOTISSEMENT NOTRE DAME DE LOURDES
56;0;260;VANNES;;EC;0325;;;00163;B094;;TOHANNIC;200;;S - Sols;200;P - Propriétaire;PBF4CK;U32205998;0 - Personnes morales non remarquables ;9900;AUPM;COLOTIS DES COPROPRIETAIRES DU LOTISSEMENT   LE VERGER
56;0;260;VANNES;;AI;0021;;;00386;B317;;MENIMUR;200;;L - Landes;200;P - Propriétaire;PBBBXH;215602608;4 - Commune;7210;COM;COMMUNE DE VANNES
56;0;260;VANNES;;AN;0515;0002;;01107;1140;RUE;F DE CHATEAUBRIAND;200;;S - Sols;200;P - Propriétaire;PBBBXH;215602608;4 - Commune;7210;COM;COMMUNE DE VANNES
56;0;260;VANNES;;DH;0508;;;00299;B230;;LA GRANDE LANDE;200;;S - Sols;200;P - Propriétaire;PBBBXH;215602608;4 - Commune;7210;COM;COMMUNE DE VANNES
56;0;260;VANNES;;BC;0175;;;00141;B072;;LIZIEC;200;;S - Sols;200;P - Propriétaire;PBDVQ7;752362145;0 - Personnes morales non remarquables ;5499;SARL;DEVOC
56;0;260;VANNES;;BR;0055;0028;;01335;2410;RUE;DU MENE;200;;S - Sols;200;P - Propriétaire;PBBHF7;383981024;0 - Personnes morales non remarquables ;6540;SCI;SYMPATIS
56;0;260;VANNES;;BO;0035;0002;;01324;2350;PL;MAL LYAUTEY;200;;S - Sols;200;S - Syndic de copropriété;PBD2R9;807939418;0 - Personnes morales non remarquables ;6540;SCI;SCI GOHMS
56;0;260;VANNES;;CL;0263;;;00236;B167;;CONLEAU;201;;AG - Terrains d’agrément;201;P - Propriétaire;PBBJ2K;U26937469;0 - Personnes morales non remarquables ;9900;AUPM;ASSOC SYNDICALE LIBRE DU LOTISSEMENT LES RIVAGES DE CONLEAU
56;0;260;VANNES;;BD;0181;;;00324;B255;;LANDE DE KERIVARHO;201;;S - Sols;201;P - Propriétaire;PBBPJ6;448647800;0 - Personnes morales non remarquables ;6540;SCI;BRUNATHY
56;0;260;VANNES;;EC;0297;;;00302;B233;;LA GRANDE TAILLE DE TOHANN;201;;S - Sols;201;P - Propriétaire;PBF4CJ;U33036205;0 - Personnes morales non remarquables ;9900;AUPM;COTLIS DES COPROPRIETAIRES DE LA GRANDE TAILLE DE TOHANN
56;0;260;VANNES;;AT;0060;;;00299;B230;;LA GRANDE LANDE;201;;L - Landes;201;P - Propriétaire;PBFH22;225600014;3 - Département ;7220;DEPT;DEPARTEMENT DU MORBIHAN
56;0;260;VANNES;;AC;0500;;;00108;B039;;KERBIQUETTE;201;;AG - Terrains d’agrément;201;P - Propriétaire;PBBTW2;491322830;0 - Personnes morales non remarquables ;6541;SCI;LES ALLEES DE VANVILLAS
56;0;260;VANNES;;AW;0313;0040;;01492;3320;RUE;DU 65E R I;201;;S - Sols;201;P - Propriétaire;PBDGQS;275600047;5 - Office HLM;4140;EPIC;OFFICE PUBLIC DE L'HABITAT DU MORBIHAN
56;0;260;VANNES;;EE;0147;;;01341;2435;RUE;MOLIERE;201;;AG - Terrains d’agrément;201;P - Propriétaire;PBCBHZ;391800356;0 - Personnes morales non remarquables ;5499;SARL;TEAM 41
56;0;260;VANNES;;BR;0371;0003;;01072;0980;RUE;EMILE BURGAULT;201;;S - Sols;201;S - Syndic de copropriété;PBF5FK;444346795;0 - Personnes morales non remarquables ;5599;SA;NEXITY
56;0;260;VANNES;;EC;0012;;;01865;2485;ALL;NATHANAEL DELAUNE;202;;S - Sols;202;G - Gérant, mandataire, gestionnaire;PBD5S4;487530099;0 - Personnes morales non remarquables ;5710;SAS;LAMY
