Département;Code Direction;Code Commune;Nom de la commune;Préfixe;Section;N° plan;N° voirie;Indice de répétition;Code voie MAJIC;Code voie Rivoli;Nature voie;Nom voie;Contenance;SUF;Nature culture;Contenance.1;Code droit - par;N° Majic - par;N° SIREN - par;Groupe personne - par;Forme juridique - par;Forme juridique abrégée - par;Dénomination - par
971;1;127;SAINT MARTIN;;BI;0157;0515;;00335;A026;LOT;LES TERRES BASSES;10000;B;AG - Terrains d’agrément;960;P - Propriétaire;PBCRKH;841727134;0 - Personnes morales non remarquables ;6540;SCI;LOW LAND VILLAS
971;1;127;SAINT MARTIN;;BI;0144;9144;;00425;0363;IMP;DU MONT ROUGE;10000;B;L - Landes;740;P - Propriétaire;PBBX29;438443830;0 - Personnes morales non remarquables ;6540;SCI;MAISON 502 LIMITED
971;1;127;SAINT MARTIN;;BI;0295;9295;;00426;0364;RUE;DUFY;10000;B;L - Landes;850;P - Propriétaire;PBCPRF;823898960;0 - Personnes morales non remarquables ;6540;SCI;NASARA
971;1;127;SAINT MARTIN;;BI;0145;9145;;00425;0363;IMP;DU MONT ROUGE;10000;B;L - Landes;4020;P - Propriétaire;PBCP33;828896126;0 - Personnes morales non remarquables ;6540;SCI;PARADISUM
971;1;127;SAINT MARTIN;;BI;0229;0661;;00335;A026;LOT;LES TERRES BASSES;10000;B;L - Landes;2440;P - Propriétaire;PBCQCV;483349023;0 - Personnes morales non remarquables ;6540;SCI;PITANGA
971;1;127;SAINT MARTIN;;BI;0324;0035;;00335;A026;LOT;LES TERRES BASSES;10000;B;AG - Terrains d’agrément;1520;P - Propriétaire;PBCXB9;902255728;0 - Personnes morales non remarquables ;6540;SCI;PLUM BAY
971;1;127;SAINT MARTIN;;BI;0264;9264;;00434;0372;RUE;PLUM BAY I;10000;B;L - Landes;650;P - Propriétaire;PBCXP9;794593988;0 - Personnes morales non remarquables ;6540;SCI;SCI G 3 G
971;1;127;SAINT MARTIN;;BI;0360;0041;;00335;A026;LOT;LES TERRES BASSES;10000;B;L - Landes;1250;P - Propriétaire;PBCRLR;833358252;0 - Personnes morales non remarquables ;3220;STE;SCI GRAND PALM
971;1;127;SAINT MARTIN;;BI;0273;9273;;00432;0370;IMP;E MOREILLON EXT A;10000;B;AG - Terrains d’agrément;1050;P - Propriétaire;PBCXKZ;918994815;0 - Personnes morales non remarquables ;6540;SCI;SCI NUIT SXM
971;1;127;SAINT MARTIN;;BI;0163;9163;;00425;0363;IMP;DU MONT ROUGE;10000;B;AG - Terrains d’agrément;3980;P - Propriétaire;PBBV76;U20703366;0 - Personnes morales non remarquables ;9900;AUPM;SEIZE THE DAY
971;1;127;SAINT MARTIN;;BI;0148;0506;;00335;A026;LOT;LES TERRES BASSES;10021;B;AG - Terrains d’agrément;250;P - Propriétaire;PBCZTJ;912381613;0 - Personnes morales non remarquables ;5710;SAS;RC PROPERTY
971;1;127;SAINT MARTIN;;BI;0414;0011;;00335;A026;LOT;LES TERRES BASSES;10088;B;L - Landes;1860;P - Propriétaire;PBCZWF;980796379;0 - Personnes morales non remarquables ;5710;SAS;ANGEL VIEW
971;1;127;SAINT MARTIN;;AB;0327;9026;;00416;0354;IMP;DOCTEUR HANSON;10193;B;L - Landes;950;P - Propriétaire;PBB422;U28163353;0 - Personnes morales non remarquables ;3290;AUPE;ACADEMIE DE LA FALAISE B V
971;1;127;SAINT MARTIN;;AC;0021;0108;;00224;0114;RUE;DE SANDY GROUND;10210;B;B - Bois;3997;P - Propriétaire;PBBS4K;311406219;0 - Personnes morales non remarquables ;5599;SA;BIALAC FRANCE
971;1;127;SAINT MARTIN;;BI;0064;0242;;00335;A026;LOT;LES TERRES BASSES;10319;B;AG - Terrains d’agrément;4610;P - Propriétaire;PBBS6R;U28172254;0 - Personnes morales non remarquables ;6599;SC;SCI BUKAFI
971;1;127;SAINT MARTIN;;BI;0105;9105;;00436;0374;RUE;DE BAIE LONGUE;10687;B;AG - Terrains d’agrément;675;P - Propriétaire;PBCPW6;819641960;0 - Personnes morales non remarquables ;6540;SCI;M G T 74
971;1;127;SAINT MARTIN;;BI;0336;0005;;00335;A026;LOT;LES TERRES BASSES;10795;B;L - Landes;1665;P - Propriétaire;PBB4MN;U28142554;0 - Personnes morales non remarquables ;3290;AUPE;GLOBEX INTERNATIONAL
971;1;127;SAINT MARTIN;;BI;0117;0064;;00335;A026;LOT;LES TERRES BASSES;11500;B;AG - Terrains d’agrément;2560;P - Propriétaire;PBCVL2;909635021;0 - Personnes morales non remarquables ;5710;SAS;COOL WATER
971;1;127;SAINT MARTIN;;BI;0130;9130;;00426;0364;RUE;DUFY;11750;B;AG - Terrains d’agrément;2670;P - Propriétaire;PBCZH6;501261036;0 - Personnes morales non remarquables ;5499;SARL;G INVEST
971;1;127;SAINT MARTIN;;AB;0320;9009;;00413;0351;RUE;RED POND BEACH;11754;B;L - Landes;2900;P - Propriétaire;PBCQQ9;819641978;0 - Personnes morales non remarquables ;7490;AUDA;CAPRICE 214
971;1;127;SAINT MARTIN;;AB;0007;9007;;00413;0351;RUE;RED POND BEACH;11910;B;L - Landes;2400;N - Nu-propriétaire ;PBCH89;U28177730;0 - Personnes morales non remarquables ;6599;SC;MAX
971;1;127;SAINT MARTIN;;BI;0098;9098;;00436;0374;RUE;DE BAIE LONGUE;12125;B;L - Landes;5240;G - Gérant, mandataire, gestionnaire;PBCRFV;403454432;0 - Personnes morales non remarquables ;5499;SARL;IM-A-GE
971;1;127;SAINT MARTIN;;BI;0098;9098;;00436;0374;RUE;DE BAIE LONGUE;12125;B;L - Landes;5240;P - Propriétaire;PBBVN3;U30845845;0 - Personnes morales non remarquables ;9900;AUPM;ASS DES PROPRIETAIRES DES TERRES BASSES
971;1;127;SAINT MARTIN;;BI;0041;9041;;00430;0368;RUE;ROUSSEAU;12125;B;AG - Terrains d’agrément;1180;P - Propriétaire;PBB3P2;479237596;0 - Personnes morales non remarquables ;6540;SCI;BLEU CIEL
971;1;127;SAINT MARTIN;;AB;0318;9008;;00413;0351;RUE;RED POND BEACH;12777;B;L - Landes;3000;P - Propriétaire;PBBXS6;433039187;0 - Personnes morales non remarquables ;6540;SCI;LIBELLULE
971;1;127;SAINT MARTIN;;BI;0136;9136;;00430;0368;RUE;ROUSSEAU;13000;B;L - Landes;3050;P - Propriétaire;PBBXGV;429948458;0 - Personnes morales non remarquables ;6540;SCI;GENESIS
971;1;127;SAINT MARTIN;;BI;0100;9100;;00436;0374;RUE;DE BAIE LONGUE;13375;B;L - Landes;1488;P - Propriétaire;PBBXW2;433518073;0 - Personnes morales non remarquables ;6540;SCI;OCEAN VIEW PROPERTIES
971;1;127;SAINT MARTIN;;BI;0002;0003;;00335;A026;LOT;LES TERRES BASSES;15937;B;L - Landes;3617;P - Propriétaire;PBBT6L;U28142144;0 - Personnes morales non remarquables ;9900;AUPM;SARL DATUM BUREAU LIMITED
971;1;127;SAINT MARTIN;;AB;0001;9217;;00413;0351;RUE;RED POND BEACH;16080;B;L - Landes;12180;P - Propriétaire;PBCZK8;953537552;0 - Personnes morales non remarquables ;5710;SAS;FAMILY TIDES SASU
971;1;127;SAINT MARTIN;;BI;0014;0009;;00335;A026;LOT;LES TERRES BASSES;17250;B;L - Landes;3390;P - Propriétaire;PBCVCS;890027832;0 - Personnes morales non remarquables ;5202;SNC;THEMIS
971;1;127;SAINT MARTIN;;BI;0005;0004;;00335;A026;LOT;LES TERRES BASSES;18375;B;L - Landes;3375;P - Propriétaire;PBCSN9;443101860;0 - Personnes morales non remarquables ;6540;SCI;DEMA
971;1;127;SAINT MARTIN;;AI;0014;0004;;00124;0105;RUE;DU FORT LOUIS;20045;B;S - Sols;1372;P - Propriétaire;PBBR27;229710017;3 - Département ;7220;DEPT;DEPARTEMENT DE LA GUADELOUPE
971;1;127;SAINT MARTIN;;BI;0413;0011;;00335;A026;LOT;LES TERRES BASSES;20194;B;L - Landes;1869;P - Propriétaire;PBBX26;437676851;0 - Personnes morales non remarquables ;6540;SCI;WAZOO
