Département;Code Direction;Code Commune;Nom de la commune;Préfixe;Section;N° plan;N° voirie;Indice de répétition;Code voie MAJIC;Code voie Rivoli;Nature voie;Nom voie;Contenance;SUF;Nature culture;Contenance.1;Code droit - par;N° Majic - par;N° SIREN - par;Groupe personne - par;Forme juridique - par;Forme juridique abrégée - par;Dénomination - par
67;0;551;WOLFISHEIM;;23;0368;0018;;00101;0131;RUE;DU CLIMONT;273;;S - Sols;273;P - Propriétaire;PBG2FX;432466118;0 - Personnes morales non remarquables ;5710;SAS;FINANCIERE DE L'ELL
67;0;551;WOLFISHEIM;;27;0106;;;00031;B031;;FOSSE SYNDICAL;275;;E - Eaux;275;P - Propriétaire;PBBBHJ;U18781775;0 - Personnes morales non remarquables ;9900;AUPM;ASS FONCIERE DE WOLFISHEIM
67;0;551;WOLFISHEIM;;04;0184;;;00025;B025;;DORFGRABEN;276;;S - Sols;276;P - Propriétaire;PBGKSL;216705517;4 - Commune;7210;COM;COMMUNE DE WOLFISHEIM
67;0;551;WOLFISHEIM;;25;0844;;;00064;B064;;OBERER KATZENWEG;276;;S - Sols;276;P - Propriétaire;PBBBT5;246700488;4 - Commune;7344;MET;EUROMETROPOLE DE STRASBOURG
67;0;551;WOLFISHEIM;;25;0987;;;00072;B072;;ROUTE NATIONALE 4;277;;S - Sols;277;P - Propriétaire;PBBBT5;246700488;4 - Commune;7344;MET;EUROMETROPOLE DE STRASBOURG
67;0;551;WOLFISHEIM;;26;0223;;;00072;B072;;ROUTE NATIONALE 4;277;;S - Sols;277;P - Propriétaire;PBBBT5;246700488;4 - Commune;7344;MET;EUROMETROPOLE DE STRASBOURG
67;0;551;WOLFISHEIM;;27;0397;;;00142;0495;ALL;DES ROMAINS;279;;S - Sols;279;P - Propriétaire;PBBBT5;246700488;4 - Commune;7344;MET;EUROMETROPOLE DE STRASBOURG
67;0;551;WOLFISHEIM;;02;0558;0001;B;00120;0340;RUE;DU MILIEU;282;;S - Sols;282;P - Propriétaire;PBFVR7;803630268;0 - Personnes morales non remarquables ;6540;SCI;JOGA
67;0;551;WOLFISHEIM;;21;0443;;;00018;B018;;ROUTE DEPARTEMENTALE 63;284;;S - Sols;284;P - Propriétaire;PBBBT5;246700488;4 - Commune;7344;MET;EUROMETROPOLE DE STRASBOURG
67;0;551;WOLFISHEIM;;24;0143;;;00049;B049;;KLEINFELD;285;;T - Terre;285;P - Propriétaire;P998SH;582104972;0 - Personnes morales non remarquables ;5599;SA;SOCIETE DU PIPELINE SUD-EUROPEEN
67;0;551;WOLFISHEIM;;04;0250;;;00011;B011;;BEIM HEILIGEN HAEUSEL;286;;S - Sols;286;P - Propriétaire;PBBBTZ;U21129306;0 - Personnes morales non remarquables ;9220;ASS;COMMUNAUTE ISRAELITE DE WOLFISHEIM
67;0;551;WOLFISHEIM;;23;0499;;;00082;B082;;STEINAECKER;288;;AB - Terrains à bâtir;288;P - Propriétaire;PBGWTK;951010008;0 - Personnes morales non remarquables ;5710;SAS;2G IMMO
67;0;551;WOLFISHEIM;;09;0081;;;00018;B018;;ROUTE DEPARTEMENTALE 63;288;;S - Sols;288;P - Propriétaire;PBBBT5;246700488;4 - Commune;7344;MET;EUROMETROPOLE DE STRASBOURG
67;0;551;WOLFISHEIM;;25;0997;;;00032;B032;;GEHREN;288;;T - Terre;288;P - Propriétaire;PBBBT5;246700488;4 - Commune;7344;MET;EUROMETROPOLE DE STRASBOURG
67;0;551;WOLFISHEIM;;25;1016;;;00032;B032;;GEHREN;289;;T - Terre;289;P - Propriétaire;PBBBT5;246700488;4 - Commune;7344;MET;EUROMETROPOLE DE STRASBOURG
67;0;551;WOLFISHEIM;;25;0723;;;00016;B016;;CHEMIN D EXPLOITATION;290;;S - Sols;290;G - Gérant, mandataire, gestionnaire;PBBM8N;130012933;0 - Personnes morales non remarquables ;7171;ETAT;DIRECTION REGIONALE FINANCES PUBLIQUES GRAND EST ET DEPARTEM
67;0;551;WOLFISHEIM;;25;0723;;;00016;B016;;CHEMIN D EXPLOITATION;290;;S - Sols;290;P - Propriétaire;PBBM8F;U21130820;1 - État ;7113;ETAT;ETAT MINISTERE DES TRANSPORTS
67;0;551;WOLFISHEIM;;10;0068;;;00003;B003;;AUF DIE BREUSCH;291;;P - Prés;291;P - Propriétaire;PBGVFX;266700574;9 - Établissements publics ou organismes associés;7364;HOSP;LES HOPITAUX UNIVERSITAIRES DE STRASBOURG
67;0;551;WOLFISHEIM;;25;1257;;;00088;B088;;WEGLAENGE;292;;S - Sols;292;P - Propriétaire;PBBBT5;246700488;4 - Commune;7344;MET;EUROMETROPOLE DE STRASBOURG
67;0;551;WOLFISHEIM;;25;0916;;;00058;B058;;MUENZBRUNNEN;292;;T - Terre;292;P - Propriétaire;PBBBT5;246700488;4 - Commune;7344;MET;EUROMETROPOLE DE STRASBOURG
67;0;551;WOLFISHEIM;;23;0583;;;00136;0600;RUE;DES VIGNES;294;;S - Sols;294;P - Propriétaire;PBDZK5;481563674;0 - Personnes morales non remarquables ;6540;SCI;ELINA
67;0;551;WOLFISHEIM;;21;0545;;;00061;B061;;NESSELHURST;297;;S - Sols;297;P - Propriétaire;PBBBT5;246700488;4 - Commune;7344;MET;EUROMETROPOLE DE STRASBOURG
67;0;551;WOLFISHEIM;;25;1253;;;00072;B072;;ROUTE NATIONALE 4;297;;S - Sols;297;P - Propriétaire;PBBBT5;246700488;4 - Commune;7344;MET;EUROMETROPOLE DE STRASBOURG
67;0;551;WOLFISHEIM;;25;0760;;;00032;B032;;GEHREN;299;;S - Sols;299;P - Propriétaire;PBBBT5;246700488;4 - Commune;7344;MET;EUROMETROPOLE DE STRASBOURG
67;0;551;WOLFISHEIM;;03;0342;0017;;00107;0220;RUE;DU GENERAL LECLERC;299;;S - Sols;299;P - Propriétaire;PBGXTC;918191032;0 - Personnes morales non remarquables ;6540;SCI;LE W17
67;0;551;WOLFISHEIM;;25;0950;;;00053;B053;;LIESBUHL;300;;T - Terre;300;P - Propriétaire;PBBBT5;246700488;4 - Commune;7344;MET;EUROMETROPOLE DE STRASBOURG
67;0;551;WOLFISHEIM;;23;0480;;;00018;B018;;ROUTE DEPARTEMENTALE 63;301;;S - Sols;301;P - Propriétaire;PBBBT5;246700488;4 - Commune;7344;MET;EUROMETROPOLE DE STRASBOURG
67;0;551;WOLFISHEIM;;25;1044;;;00088;B088;;WEGLAENGE;301;;S - Sols;301;P - Propriétaire;PBBBT5;246700488;4 - Commune;7344;MET;EUROMETROPOLE DE STRASBOURG
67;0;551;WOLFISHEIM;;25;0777;;;00016;B016;;CHEMIN D EXPLOITATION;304;;AB - Terrains à bâtir;304;P - Propriétaire;PBBBHJ;U18781775;0 - Personnes morales non remarquables ;9900;AUPM;ASS FONCIERE DE WOLFISHEIM
